Year,Area (m2)
1900,42000000
1901,42000000
1902,42000000
1903,42000000
1904,42000000
1905,42000000
1906,42000000
1907,42000000
1908,42000000
1909,42000000
1910,42000000
1911,42000000
1912,42000000
1913,42000000
1914,42000000
1915,42000000
1916,42000000
1917,42000000
1918,42000000
1919,42000000
1920,42000000
1921,42000000
1922,42000000
1923,42000000
1924,42000000
1925,42000000
1926,42000000
1927,42000000
1928,42000000
1929,42000000
1930,42000000
1931,42000000
1932,42000000
1933,42000000
1934,42000000
1935,42000000
1936,42000000
1937,42000000
1938,42000000
1939,42000000
1940,42000000
1941,42000000
1942,42000000
1943,42000000
1944,42000000
1945,42000000
1946,42000000
1947,42000000
1948,42000000
1949,42000000
1950,42000000
1951,42000000
1952,42000000
1953,42000000
1954,42000000
1955,42000000
1956,42000000
1957,42000000
1958,42000000
1959,42000000
1960,42000000
1961,42000000
1962,42000000
1963,42000000
1964,42000000
1965,42000000
1966,42000000
1967,42000000
1968,42000000
1969,42000000
1970,42000000
1971,42000000
1972,42000000
1973,42000000
1974,42000000
1975,42000000
1976,42000000
1977,42000000
1978,42000000
1979,42000000
1980,42000000
1981,42000000
1982,42000000
1983,42000000
1984,42000000
1985,42000000
1986,42000000
1987,42000000
1988,42000000
1989,42000000
1990,42000000
1991,42000000
1992,42000000
1993,42000000
1994,42000000
1995,42000000
1996,42000000
1997,42000000
1998,42000000
1999,42000000
2000,42000000
2001,42000000
2002,42000000
2003,42000000
2004,42000000
2005,42000000
2006,42000000
2007,42000000
2008,42000000
2009,42000000
2010,42000000
