Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,4.803,3.038,6.23,12.054,8.576,0.049,8.742,6.569,8.681,7.946,0.774,2.455
1901,0.519,1.916,0,1.473,3.489,3.941,5.088,2.472,8.888,0,1.554,0.164
1902,1.106,0.677,0,3.712,4.442,0,5.064,0,12.752,0.85,5.197,3.656
1903,6.702,2.704,5.827,1.413,7.225,12.659,14.536,4.126,6.147,1.997,0.024,0.315
1904,0,0.599,1.568,4.532,7.994,4.658,9.868,4.355,15.805,2.645,2.113,1.504
1905,0.735,5.194,5.921,6.735,5.867,3.067,2.695,1.715,7.545,2.526,6.938,5.481
1906,0.176,3.38,2.62,6.277,6.071,1.947,10.784,8.493,8.61,7.104,4.656,1.482
1907,0.385,0,0.395,3.555,3.218,0.028,5.954,0.951,3.797,1.517,6.18,1.293
1908,0.93,0,1.667,10.023,8.57,0,5.657,5.907,6.027,4.539,4.401,0.193
1909,0,1.385,0.061,3.839,5.383,7.345,4.901,12.57,1.452,0.082,0.448,2.336
1910,0,0,2.64,6.271,4.096,2.277,1.641,2.961,11.503,3.277,0.388,1.565
1911,0.629,3.022,4.034,7.447,3.168,0.343,2.673,2.459,2.429,3.893,4.39,3.634
1912,2.07,2.298,0,5.522,2.32,18.344,0.577,0,4.686,11.16,2.693,3.715
1913,2.603,2.541,2.738,1.771,6.002,14.784,1.012,2.364,16.263,4.094,3.772,4.481
1914,0.292,2.186,1.648,6.928,19.642,0.661,0,6.864,4.628,13.219,13.087,2.939
1915,6.641,0.356,5.727,5.018,5.761,0.201,1.137,6.342,9.386,3.589,0,1.219
1916,2.717,0.064,0,2.12,0.693,1.417,15.676,14.682,4.901,6.107,2.753,0.736
1917,0.656,0.445,0.468,1.435,4.597,0.675,2.229,1.611,3.819,1.282,0.195,0
1918,0.001,0.997,1.653,4.734,6.758,2.637,2.723,3.15,4.26,4.229,4.445,7.347
1919,6.192,2.17,0.866,4.806,7.386,3.985,13.904,2.572,18.827,9.266,4.619,2.32
1920,2.303,1.05,0.772,0.652,10.041,5.353,1.634,4.966,1.331,3.223,3.231,0
1921,0.365,1.533,2.474,4.401,4.959,4.714,3.516,1.207,14.992,0.495,1.445,0.225
1922,1.994,1.065,2.776,4.561,7.525,11.081,2.14,1.661,15.93,3.17,8.313,0
1923,0,17.322,2.062,1.752,0.348,2.581,2.334,5.413,12.338,5.848,4.377,6.321
1924,3.972,1.53,0.139,2.166,10.035,7.552,1.854,0,8.329,1.952,0,5.676
1925,0.342,0,5.056,0.898,1.372,3.689,0.106,6.057,21.642,1.659,1.524,8.905
1926,4.951,0,3.999,4.414,4.813,6.381,6.235,3.393,2.988,7.391,2.705,5.274
1927,1.303,1.365,0,2.708,1.528,14.194,3.457,0.793,4.969,3.449,0.592,1.537
1928,2.683,4.022,0.042,2.337,11.897,1.109,1.192,3.206,12.962,0.03,4.965,3.174
1929,0.525,0.201,2.776,4.641,7.291,2.298,5.296,2.668,5.23,3.343,5.076,2.478
1930,0.548,2.304,3.14,8.485,9.516,10.885,2.323,0.305,3.638,13.341,9.243,0.586
1931,10.129,1.588,3.017,4.21,10.011,9.475,9.43,5.551,1.969,0,0.907,5.082
