years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,14.9,15.5,20.5,23.5,27.3,31,30,30.5,29.9,25.5,20.3,14.5
1901,16.5,16.1,21.8,24.1,27.6,30.3,31.2,31.2,27.9,25.5,20.5,15.2
1902,15.6,16.4,23.4,26.9,29.9,31.4,31.5,32,29.3,25.5,22.9,16.4
1903,14.4,15.6,18.5,23.6,26.4,28.1,30.2,29.4,27.1,23.2,19,14.4
1904,14,19.7,24.8,26.1,26.7,29.8,29.4,29.6,28.5,24,18.5,15.6
1905,14.6,11.9,21.9,25.1,29.1,29.2,30.7,32,29.5,24.7,21.2,11.8
1906,14.7,16.7,19.2,25.1,27.8,31.1,30.2,29.5,28.6,21.9,19.5,18.6
1907,19.6,18.6,25.8,24.5,25.9,30.6,30.6,31.1,29.1,25.7,17,15.9
1908,16.4,16.8,24.1,26.3,28.4,31.1,30.4,30.3,27.8,23.1,19.9,16.9
1909,18,18.4,23,24.9,28.4,31.1,31.9,31.4,27.5,24.8,23.6,13.3
1910,16.3,16.5,22.6,24.5,28.2,30.6,31.8,31.6,28.4,23.2,21,16.4
1911,18.8,20,22.5,25.4,26.6,30.9,30.7,31.6,30.1,24.4,17.2,14.5
1912,13.5,15,18.9,24.9,28.4,28,30.5,31.5,29.6,24.6,17.9,13.4
1913,13.9,15.3,19.6,23.2,26.5,28,30,30.4,26.9,23.6,21.7,15.1
1914,16.3,16.5,18.7,23.5,27.2,29.5,31.5,31,28.2,24.2,19,10.8
1915,13.1,17.3,15.6,23,27.3,30.8,31.2,30.9,29,24,20.4,17.1
1916,18.3,18,23.1,24,28.7,31.6,29.9,28.9,27.1,23.7,17.9,15.8
1917,15.7,18,21.3,24.3,26.3,30,30.6,31.4,27.8,23.1,19.9,15.1
1918,12.4,17,22.4,24.8,27.4,30.3,31.3,30.9,27,24.4,17.7,15.6
1919,12.4,15.2,20.2,23.6,26.6,28.3,29,30.3,27.5,26.3,19.5,13.9
1920,12.5,17.5,18.9,24.6,27.8,28.3,30.7,30.8,29.6,24.1,17.7,15.6
1921,17.4,17,24,24,26.5,29.7,30.4,30.6,29.4,24.5,21.8,18.6
1922,13,18.4,20.3,26.3,28.6,29,30.7,30.7,27.7,23.2,19,17.6
1923,18.5,15.7,18.9,25.1,28.8,30.3,30.9,30.8,28.4,22.6,17.1,15.3
1924,11.7,15.7,19.1,24.5,26,29.6,30.1,31.5,27.7,24.1,22,13.8
1925,13.6,19.1,22.5,26.1,27.7,30.2,31.7,30.7,28,23.8,18.6,11.1
1926,12.2,18.8,19.3,23,26.7,29.8,29.7,30.7,29.7,26.8,17.8,15.6
1927,16.8,19.8,21.4,27,30.4,29.6,30.4,31.2,29.3,25.2,23.3,12.9
1928,14.3,16.9,22.8,23.1,26.7,31,31.6,31.6,27.1,25.8,18.5,14.6
1929,16.6,15.1,22.9,27.4,28.1,29.8,30,30.6,28.7,24.5,16.3,15
1930,11.7,19.7,18.9,25.1,27.5,28,30.2,30.9,29.6,24.2,18,13.5
1931,14.3,17.1,17.7,21,25.4,29,29.6,29.1,29,27.2,22,16
1932,17.3,21,18.7,24.5,26.9,30.7,30.9,31.1,27.4,23.2,17.2,13.6
1933,18.4,17.2,23,26,29.9,28.6,30.2,29.1,28.3,25.7,19.7,18.8
1934,16.4,16.5,18.4,24.9,27.3,30.7,30.3,30.5,27.9,26,21.5,16.6
1935,17.9,16.2,23.5,26,27.8,28.9,30.3,31,27.2,24.5,19.9,14.6
1936,13.4,14.7,21.8,22.7,26.3,30,29.5,29.8,27.5,21.3,17.3,15.9
1937,15.2,16.6,18,23.8,26.7,30.5,29.7,31.1,29.1,25.2,18,14.7
1938,15.5,18.9,24.2,23.7,27.5,29.9,31.2,30.1,26.9,24.2,18.1,15.6
1939,16.3,16.6,22.2,24.6,28.4,28.9,31.1,30,27.4,24.3,17.3,16.4
1940,10.3,17.1,20.9,24.2,27.1,29.4,30.6,31.4,27.6,24.5,18.8,16.5
1941,16.6,14.7,16.4,24,26.6,28.9,30.3,30.6,29.1,26.9,18.6,15.9
1942,13.3,15.2,19.7,24.3,27.7,30.2,29.1,30,26.7,25.1,20.7,16.8
1943,13,19.2,20.1,25.2,28.6,29.6,31.2,31.3,27.3,22.9,18,14.6
1944,14.1,18.9,20.7,24.4,26.7,30,31.4,30.8,27.8,23.8,19.6,14
1945,15.7,18.3,24.4,25,27.8,31.2,31.5,30.9,28.5,23.6,22.3,14.1
1946,13.5,17.8,22.5,26.1,29.4,29.2,31.9,31.2,29.7,25.7,20.5,17.1
1947,13,13.5,18.9,25.2,28.3,31.4,32,29.5,29.1,26.9,19.1,15.7
1948,12.4,16.4,19.9,25.7,28.7,30.7,31.3,31.3,27.1,23.4,18.5,18.3
1949,13.1,17.6,21.2,23,28.6,30.5,31,30.5,29.1,25.1,19.8,17.9
1950,20.4,20,20.8,25.6,29.3,29.9,31.2,31.1,29.7,26.2,19.6,15.8
1951,16,16,20.8,24.6,27.5,30.5,31.4,31,28.5,25.1,18.4,17.4
1952,19,18.5,21.4,23.9,26.7,28.8,30,31.2,27.8,21.8,18.4,14.4
1953,16.5,16.5,24.5,26.4,28.8,32,31.8,30.5,27.2,23.3,18,13.2
1954,16.8,19.5,20.6,25.9,26.9,30.2,30.6,30.9,29,24.8,18.5,16.9
1955,15,16.6,22.2,26.5,29.4,29.9,30.2,30.8,27.8,23.2,18.8,15.4
1956,15.6,18.1,21,24.4,27.7,29.8,30.8,30.9,28.5,25.5,17.4,16.5
1957,17.4,20.8,20.9,24.4,27.8,29.5,31.4,31.4,28.3,23.9,18,16.3
1958,12.9,14.9,17.6,24.9,27.2,30.5,30.8,31.6,29.1,22.9,19.4,13.3
1959,12.7,15.3,18.3,22.6,28.9,29.7,31,31,30,25.3,16.1,15.7
1960,14.7,14.4,17.7,24.8,27,30.4,31.5,30.8,27,26.5,20,12.9
1961,11.3,16.4,22.7,24.2,28.7,29.8,30.4,29.6,28,24.1,18.2,16.1
1962,11.3,21.6,18.8,24.1,27.7,29.6,31.6,31.5,29.2,26.7,19.2,14.2
1963,10.9,14.6,21.9,27.8,27.4,30.1,30.3,31.2,28.4,24.5,20.1,11
1964,13.5,13.6,20.2,26.2,28.1,28.8,30.9,32.1,29.1,21.9,20.9,14.3
1965,16.5,14.3,17.9,25.5,27.8,30.3,31.1,29.9,28.9,21.9,22.2,16.8
1966,10.7,12.9,19,24.5,25.3,27.8,29.9,30.8,28.9,23.2,20.1,14.8
1967,13.6,15.4,22.7,28.1,27.9,30.2,31.3,29,25.6,22.1,18.8,13.8
1968,12.6,13.1,17,23.5,27,28.6,29.1,30,27,24.8,18.1,15.2
1969,15.6,16.7,16.8,25,26.5,29.8,32,30.7,28.1,24.8,17.9,16
1970,11.1,15.7,17.8,25.3,24.8,28.8,29.6,30.6,27.5,22.2,17.3,19.3
1971,17.3,17.7,21.7,24,28.2,29.9,30,28.9,27,24.3,19.6,17.5
1972,16.7,16.2,22.4,26.4,25.6,28,28.8,29.8,29.4,24.8,16.2,13.7
1973,11,13.4,21.8,22.5,26.4,27.4,29.3,28.5,27.7,24.3,22,15.2
1974,14.4,16.5,22.6,24.3,28.2,28.8,29.5,30.8,26.2,23.1,18,13.5
1975,15.1,16.3,21.8,25,28.7,29.2,28.7,29,25.8,23.6,19.1,15.2
1976,13.4,18.7,21.2,24.1,24.8,29.1,27.9,28.9,27.9,19.9,14.5,12.2
1977,10.6,15.1,19.8,22.9,27.3,29.3,30.5,31.4,29.5,24.6,20.3,15.9
1978,10.8,11.9,19.7,25,28.2,30.2,31.6,30.5,27.6,22.8,19.6,15
1979,11.3,14.2,21,25.3,26.4,28.7,31.2,30.5,26,25.2,18.3,14.5
1980,15.3,14.9,21,23.3,28.4,31.9,32.3,30.2,29.9,23.3,16.1,14.7
1981,13.1,15.4,19.1,25.1,26.5,28.9,29.9,30.2,27.8,24.9,20,15.8
1982,15.8,14.2,21.5,24.5,26.2,30.1,31.7,31.3,29,23.8,19.2,15.1
1983,13.2,16,19.9,22.9,27.6,29.4,29.8,30.4,28.4,24.7,20.9,10.8
1984,11.1,16.4,21.2,25.6,27.1,29.5,30.2,30.5,27.1,25.6,19.3,19.3
1985,11.3,14.1,21.8,24.3,27.2,28.9,29.5,31.4,29.4,24.7,21.6,13.1
1986,14.5,18,21,26.4,27.1,29,30.8,30.8,29.6,24.1,18.2,13.5
1987,13.1,16.6,17.4,20.7,26.6,28.1,30.1,31.1,28.5,24.3,19,16.1
1988,11.7,15,20.1,24.4,27.1,29.3,31.2,30.5,27.8,24.8,21.4,16.1
1989,16.8,15.2,20.4,24.1,29.8,30.5,30.8,30.5,27.5,24.1,20.5,9.6
1990,16.7,18.2,20.5,24.4,28.4,32,30.3,30.6,28.1,23.8,20.7,15.5
1991,12.6,17.2,23.2,26.6,28.4,30.6,29.8,31.7,26.6,25.9,16.9,16.5
1992,12.7,17.7,21.4,22.8,25.4,30.2,31.5,30.3,29,24.6,18,16
1993,14.6,17.4,20,23.8,26.4,29.1,30.3,31,28.6,24.3,17.6,16.9
1994,15.5,16.7,21.1,24.3,27.4,30.7,32.2,30.4,27.5,25.3,23.2,17.7
1995,15.1,18.3,19.8,25.1,29.8,29.9,31.8,30.6,28.8,24.1,19,15.9
1996,14.9,18,18.4,24.3,29.9,31.6,32.4,30.5,29.3,24.8,21,16.5
1997,13.4,16.6,21.6,21.6,26.6,30.2,32.3,32.5,29.6,24.3,17.9,14.6
1998,18.4,18.4,20.3,24.6,30.3,33.2,33.2,32.3,29,25.2,21.1,15.6
1999,17.1,20.8,23.1,27.2,29.3,31.1,30.5,31.4,28.2,23.2,20.6,15.4
2000,18,20.8,24,25.5,29.8,30.2,32.3,31,29.4,23.8,18.8,12.2
2001,13.9,19.1,19.1,26.2,28.7,31.3,31.8,31.8,28,24.4,21.1,15.5
2002,16.3,15.5,20.8,27.2,29.5,30.9,30.2,31.5,27.7,25.6,17.1,15.6
2003,13.2,15.8,19.9,24.8,30.5,31.3,30.6,31.2,27.4,24,20.4,15.1
2004,15.2,15.8,22.2,23.2,26.6,30.2,30.4,30.9,27.8,27.3,20,14.2
2005,16.6,16.8,20.9,23.7,26.8,30.6,31.1,31.3,30.5,25.1,20.9,15
2006,17.2,16.6,23.3,27.4,28.3,29.5,29.9,31.2,28.4,25,21,15
2007,12.3,16.5,22.1,23.1,27.4,30.2,29.3,30.1,28.5,25.5,20.5,18
2008,14.5,20.2,21.8,25.7,29.5,31.2,28.8,29.5,26.6,23.6,19.9,15.5
2009,16.6,19.4,21.1,24.8,28.9,30.9,32.8,32.3,27.9,25.3,19.8,12.6
2010,14,13.6,18.7,24,28,31,29.5,31.5,28.5,24.2,20.2,16.5
