Year,Area (m2)
1900,39000000
1901,39000000
1902,39000000
1903,39000000
1904,39000000
1905,39000000
1906,39000000
1907,39000000
1908,39000000
1909,39000000
1910,39000000
1911,39000000
1912,39000000
1913,39000000
1914,39000000
1915,39000000
1916,39000000
1917,39000000
1918,39000000
1919,39000000
1920,39000000
1921,39000000
1922,39000000
1923,39000000
1924,39000000
1925,39000000
1926,39000000
1927,39000000
1928,39000000
1929,39000000
1930,39000000
1931,39000000
1932,39000000
1933,39000000
1934,39000000
1935,39000000
1936,39000000
1937,39000000
1938,39000000
1939,39000000
1940,39000000
1941,39000000
1942,39000000
1943,39000000
1944,39000000
1945,39000000
1946,39000000
1947,39000000
1948,39000000
1949,39000000
1950,39000000
1951,39000000
1952,39000000
1953,39000000
1954,39000000
1955,39000000
1956,39000000
1957,39000000
1958,39000000
1959,39000000
1960,39000000
1961,39000000
1962,39000000
1963,39000000
1964,39000000
1965,39000000
1966,39000000
1967,39000000
1968,39000000
1969,39000000
1970,39000000
1971,39000000
1972,39000000
1973,39000000
1974,39000000
1975,39000000
1976,39000000
1977,39000000
1978,39000000
1979,39000000
1980,39000000
1981,39000000
1982,39000000
1983,39000000
1984,39000000
1985,39000000
1986,39000000
1987,39000000
1988,39000000
1989,39000000
1990,39000000
1991,39000000
1992,39000000
1993,39000000
1994,39000000
1995,39000000
1996,39000000
1997,39000000
1998,39000000
1999,39000000
2000,39000000
2001,39000000
2002,39000000
2003,39000000
2004,39000000
2005,39000000
2006,39000000
2007,39000000
2008,39000000
2009,39000000
2010,39000000
