Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,4.703,0.91,9.024,20.176,17.132,2.747,5.202,6.414,16.624,10.91,1.161,0.903
1901,0.851,1.506,0,3.571,4.952,3.154,2.652,1.707,6.142,0.092,2.336,0.116
1902,1.119,1.635,0,2.291,7.576,0,4.855,0,12.6,1.153,6.725,6.769
1903,6.811,4.755,2.465,1.399,7.285,12.481,10.112,1.013,8.48,0.268,0,0.472
1904,0,0.425,0,7.147,7.68,7.435,4.982,0.2,18.339,4.783,2.064,1.091
1905,0.932,2.426,7.042,14.327,7.021,7.192,1.275,1.718,5.795,5.451,6.376,4.058
1906,0.062,2.291,1.281,5.7,8.701,1.134,10.691,7.461,9.926,3.813,3.855,0.212
1907,0.642,0.159,0.179,4.339,6.263,0.697,6.779,0,3.212,11.097,6.915,0.616
1908,0.536,1.197,1.706,8.372,10.101,0.721,4.058,8.24,5.957,2.999,3.093,0.127
1909,0,0.518,1.805,3.739,4.823,4.986,3.996,5.434,2.245,0.106,1.397,1.9
1910,0.436,0,3.205,6.488,5.564,0.751,0,1.953,5.333,6.42,0.322,0.449
1911,0.92,5.689,5.549,10.178,1.346,0.066,2.468,4.489,0.708,6.428,6.351,3.779
1912,0.151,1.782,1.885,5.296,2.596,17.243,0.656,0,2.757,7.827,2.648,4.825
1913,0.955,1.856,1.205,2.055,7.947,13.768,0.623,4.084,16.57,9.691,9.634,4.321
1914,0.446,1.468,0.611,6.299,18.401,2.247,0.996,6.257,2.132,7.716,7.259,1.307
1915,6.194,1.404,2.545,8.47,4.609,0.941,1.73,7.813,9.462,3.167,0,0
1916,1.612,0.03,0.193,7.805,4.507,0.645,9.596,13.681,3.038,2.964,1.594,0
1917,1.053,0.22,0.337,0.772,3.721,1.408,1.833,1.207,3.305,0,0.6,0
1918,0.175,0.187,0.941,4.004,8.477,3.997,0,0.797,3.541,11.033,4.473,6.167
1919,3.973,3.401,6.383,9.01,6.145,9.453,14.575,0.803,19.729,11.92,4.725,2.097
1920,5.627,0.059,0.185,0.515,7.498,8.094,4.363,7.419,2.909,4.503,1.849,0.127
1921,0.021,4.492,2.906,5.924,5.693,6.328,3.499,1.352,7.818,2.285,0.851,0.908
1922,0.454,0.597,4.956,10.357,9.403,12.846,4.391,0.494,8.354,2.008,1.498,0
1923,1.19,12.418,7.332,4.719,0.287,5.39,5.994,4.754,12.707,9.25,6.921,4.851
