years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,12,12.5,16.4,20,24.2,28.7,29.4,29.2,28.8,22.8,17.5,11.2
1901,13.9,12.1,18.2,20.7,25.5,29.7,30.7,31.4,27.5,23.3,17.5,11.5
1902,10.9,12.6,20.4,24.9,27.2,30.8,30.9,31.7,27.1,22.4,18.7,12.8
1903,11,11.6,15.4,21.3,25.4,25.8,30.1,30.1,25.7,21.3,14.7,11.9
1904,10.9,16.6,22.2,23,25,28.4,29,29.6,27.3,22.3,16.4,12.2
1905,11.3,9.1,19.9,20.9,26.1,28.4,30.8,31.6,28.7,22.9,17.1,8.1
1906,11.3,12.6,17.1,22.4,26.7,31.3,29.1,29.3,26.6,18,17.1,15.8
1907,15.9,15.9,23.6,21.8,24.5,29.5,30.8,31.6,28.2,22.7,13.9,12.8
1908,12,13.4,21.5,22,25.7,30.8,29.6,28.6,27.5,21.2,15.7,13.4
1909,15.7,17.5,21,22.7,28.1,31.6,32.2,31.7,27.9,23.1,20,10.3
1910,13.5,12.3,19.4,21.8,26.4,30.5,32.5,33,30.3,22.3,17.7,12.4
1911,16.1,16.4,20.5,22.4,25.6,31,30.9,31.6,30.5,22.4,13.7,10.9
1912,10.4,12,15.8,22,27,27.9,30.8,32,29.1,22.9,15.3,10.1
1913,11.4,12.5,17.1,21.8,26.6,27.6,30.6,30.8,26.4,21.4,18.8,12.4
1914,14.1,13.9,16,21.9,26.3,29.7,31.9,30.9,28.6,22.8,17,9.1
1915,10.5,15.6,13.4,21.8,26.7,31,31.5,29.9,27.9,22.7,17.7,13.9
1916,15.6,16.4,22.2,22.5,27.4,32,29.8,28.8,26.7,22.6,15.4,12
1917,13.2,15.4,18.8,23,25.4,30.9,31.9,31.8,27.4,20.9,17.9,11.6
1918,9.6,14.8,21.3,23.6,26,29.8,31.5,30.9,25.9,22.2,14.8,11.7
1919,9.5,12.7,17.6,21.5,25.5,27.1,28.6,29.6,26.2,24,16.5,11.1
1920,10.1,15.7,17.2,22.4,26.3,28.3,30.8,29.2,28.3,22.4,15,12.3
1921,15,15.5,21.7,21.8,25.7,29.1,30.6,30.7,29.6,23,19.3,15.8
1922,10.8,16.3,18,23.6,27,27.6,30.2,31,27.5,22.1,17.3,15.1
1923,15.8,12.7,15.9,22.6,27.3,29.3,30.2,30.4,27.6,20.8,15.2,12.9
1924,9.7,13.4,16.9,22.3,23.6,29.2,30.2,31.7,26.6,22.7,19.4,11.7
1925,11.3,16.5,21,25.5,26.5,30.3,31.5,30.1,27.8,21.7,15.7,9.7
1926,9.7,16.4,17.2,20.6,25.5,29.5,29.8,30.9,30,25.6,15.3,12.7
1927,12.8,17.1,19.1,25.4,29.1,29,30.5,31.5,29.2,23.8,19.9,7.9
1928,10.4,13.3,19.4,20.6,25.6,30.7,31.8,31.4,25.9,23.7,14.4,11
1929,12.1,10.9,19.7,24.5,26.1,30.4,30.5,31.3,28.2,22.4,12.6,11.3
1930,7.1,16.8,15.9,24.1,26,28.2,30.7,32,29.6,21.4,15.2,10.5
1931,11,14.6,14.6,19,23.7,28.6,29.7,29.1,29.5,25.8,18.5,10.9
1932,12.5,16.7,15.2,22.8,25.9,30.3,31.1,30.9,25.2,19.8,13,9.8
1933,13.9,12,19.1,22.5,28,29.1,31.6,30.1,29.3,24.4,17.4,14.8
1934,12,14,17.1,24.2,26.9,31.3,31.1,31.5,28.1,25,18.7,13.1
1935,14.1,13.6,21.8,24.2,25.5,28.2,30,31.1,25.8,23.4,16.2,11.4
1936,10.3,12.9,19.6,21.8,25.5,30,29.3,30.4,27.3,19.8,14.3,13.1
1937,11.3,14.5,16.2,22.8,27.1,30.3,30.2,32.1,27.3,23.6,15.4,11.3
1938,12.6,16.7,21.5,21.6,26.9,30.5,31.4,30.7,27.6,23.6,14.8,11.7
1939,12.8,12.4,20.3,23.6,27.7,30.5,31.6,29.7,28.4,23.3,14.4,13.1
1940,7,12.9,18.1,22,25,27.2,30.1,30,26.6,22,14.6,13.2
1941,12.7,12.7,14.3,21.6,25.4,28.5,30.8,31.3,28.3,25.6,15.7,12.4
1942,10.7,12.8,17.3,23.2,26.3,30.5,29.8,30.3,25.2,22.4,18.5,12.9
1943,11,15.9,17.5,24.7,27.8,29.9,31.5,32.5,25.8,20.5,15,10
1944,10.7,15.6,18.5,23.3,25.6,30.2,32.8,30.7,26.9,21.8,16.4,9.9
1945,12,14.7,20.3,22.1,27,31.1,31.9,32,28.4,21.2,17.7,10.9
1946,10.3,14.6,20.2,24.5,26.2,28.7,31.4,30.8,27.8,23.8,16.7,13.3
1947,9.3,10.5,15.9,22.1,26.3,29.6,30.5,29.7,28.2,26.1,15.7,12.9
1948,8.9,12.9,18.3,24.8,28.2,31.6,30.9,31.2,25.4,21.5,14.4,13.9
1949,9,14.9,17.9,19.5,27,29.1,30.1,28.9,28,22,17.1,13.5
1950,15.6,16,18.4,22.8,27.2,28.5,30.7,29.9,27.6,23.8,16.3,12
1951,10.6,13.7,18.6,22.8,26.2,29.9,32.1,31.7,28.7,24.1,15.1,13.2
1952,15.6,15.5,17.5,21.8,25.7,29.4,31,32.3,27.9,20.4,15.9,11.3
1953,13.4,14,21.6,23.9,27.2,31.9,32.4,30.4,26.2,21.7,14.9,9.3
1954,12.1,16.8,17.6,23.9,25.2,29.6,30.6,30.4,28.8,23,15.4,13.6
1955,11.3,14.1,19.1,24.5,27.4,29.3,29.5,29.8,27.5,21.7,15.7,11.7
1956,11.6,14.3,19,22.9,27.5,30.4,30.7,31.2,27.5,24.3,15.1,12.9
1957,12.3,18.2,18.3,20.9,24.8,28.8,31.8,31.7,27,20.4,13.6,12.6
1958,9.9,11.4,14.4,21.5,25,29.3,30.5,31,27.1,20.3,16,10.3
1959,9.6,12.3,16.5,20.2,26.4,29.1,29.6,29.9,28.8,22.2,12.3,12.4
1960,10.6,11.3,14.9,23.6,25.6,30.7,30.7,29.9,27.5,24.1,16.8,9.8
1961,9,13.5,19.2,21.9,27.1,29.3,29.7,29.3,28.5,22.5,14.9,12.5
1962,8.2,18.8,16.4,23.1,27.7,29.7,32.2,32.4,29,25.9,17.1,11.5
1963,8.4,12.5,20,25.8,26.4,30.3,30.9,32.2,28.7,23.8,17.2,8.1
1964,10.1,11.4,17.6,24.3,26.7,29.7,31.8,31.2,27.7,20.5,17.9,11.6
1965,13.4,11.2,14.7,23.7,25.3,28.8,30.6,30,28.4,20.8,19.2,13.5
1966,8.6,10.8,17,22.7,24.2,27.4,31,29.6,26.9,21,18.2,10.9
1967,10.6,12.7,21.1,25.5,26.7,30,31.2,28.9,25,20.6,16.5,11
1968,10.3,11,14.9,21.6,25.4,28.3,29.2,30.3,25.3,23.2,15.6,11.5
1969,12.7,14.1,14.5,22.7,24.5,29.6,31.9,30.9,27.3,21.5,14.8,13
1970,8.1,13.3,15.2,22.8,23.8,27.6,29.7,29.9,26.9,20.2,14.2,15.7
1971,14.7,14.5,18.8,22.3,26.8,28.1,28.7,26.5,26.1,22.3,17.2,13.5
1972,12.7,14.1,20.7,24.8,24.8,27.9,29,28.5,28,23,13.5,10.3
1973,8.6,11.3,19.2,20.2,25.8,27.2,29,28.8,26.9,22.1,18.9,12.1
1974,11.3,13.9,20.4,22.5,27,28.7,30,29.1,24,21.5,15.2,10.6
1975,12.4,13.7,18.7,22.3,25.7,27.8,27.7,29.5,25.3,22.1,17,12.3
1976,10.3,16.9,19.7,21.9,22.8,28.7,26.8,28.4,27.2,17.6,11.8,9.9
1977,7.9,13.2,17.5,20.6,24.6,28.7,30.3,31.3,29.9,22.9,17.3,13
1978,8.1,9.5,17.5,23.8,27.1,28.8,31.2,29.2,25.7,20.8,17,11.2
1979,7,11.1,17.4,21.5,24,26.8,31.1,29.9,26.8,24.1,14.9,12.1
1980,12.7,12.8,17.5,21.5,26.4,30.9,32.2,29.6,28.5,22.1,14.3,12.4
1981,10.9,12.5,16.7,23,24.7,26.9,29.2,29.6,27,23,18.2,13
1982,11.9,12.1,19.2,22.3,24.8,28.9,31,31.2,28.4,22.7,17,12.1
1983,11.1,13.2,17.4,21.6,26.2,28.4,30.3,30.7,27.5,23.7,18.2,7.8
1984,9.5,14.8,19.7,24.2,27.1,29.8,30.5,30.9,27.1,22.6,16.3,15.5
1985,8.3,11.3,19,22.8,27,28.6,29.5,31.5,28.7,22.9,18.7,11
1986,12.3,16.2,19.7,25.4,26.2,28.1,30.9,30.9,28.6,21.3,15.5,11.3
1987,11.4,14.1,15,19,24.5,26.9,28.7,30.3,27.2,22.6,16.8,13
1988,9,13.4,18.7,23,26.3,29.1,30.2,29.9,27.6,23.2,19,13.2
1989,14.3,12.3,17.9,23.1,28.5,29.9,31.4,30.4,27.3,22.9,17.4,7.8
1990,13.9,16.6,17.6,20.3,25.8,31.6,29.1,29.1,26.6,21.4,18,12.5
1991,11,14.6,19.8,23.6,27.3,29.1,29.7,30.8,25.5,23.7,14.9,13.5
1992,11.4,15.3,18.8,20.8,24.1,28.7,30.1,29.1,28.4,23.6,15.4,13.4
1993,12.1,14.5,18,22,25.1,28.3,30.7,31.3,27,22.4,14.4,14.5
1994,12.4,14.3,18.8,22.4,25.3,30.8,31.3,30.7,27,23.3,17.7,14.2
1995,12.8,16.1,18.1,23.2,27.7,29.2,31.2,31.2,28,22.6,17,13.1
1996,11.8,15.4,15.9,22.5,29,31.2,32,30.6,27.7,22.6,18.2,13.2
1997,10.7,13.5,19.5,19.7,25.7,28.2,31.3,31.5,29.2,22.3,16,11
1998,14.5,15.6,17.8,22.6,29.1,31.9,32.9,30,28.5,23.1,17.8,12.8
1999,13.3,18.2,19.2,23.9,26.5,29.2,29.9,31.1,27.1,21.6,17.8,12.1
2000,14.3,17.6,20.4,23.5,28.7,29.2,31.6,31,28.8,21.5,14.6,8.9
2001,10.5,15.2,15.6,23.7,27.2,31.2,31.8,31.5,27,22,18.4,12.5
2002,13.2,12.2,17.9,25.4,27.7,30.4,28.9,30.7,26.7,22.7,14.7,12.2
2003,11,12.5,17.8,22.9,28.6,29.4,28.8,30.1,26.1,21.9,17.5,12.6
2004,12.8,12.7,20.2,20.8,25.1,29,29.2,29.6,26.8,24.8,16.5,11.5
2005,14.5,14.1,17.7,21.7,25.2,30,31.4,30.6,30.4,22.4,18.2,11.7
2006,15.3,14.3,21.4,26,28.1,30.7,31.2,32,27.2,23.7,18.6,12.2
2007,9.3,13.4,19.7,20.1,24.3,27.3,27.4,28.9,27.2,23.2,17.4,13.2
2008,11.3,16.2,18.2,23,27.4,31,29.2,29.6,26,21.9,17.3,12.4
2009,12.6,15.6,18.5,22.4,27.4,30.5,32.1,31.6,26,21.9,15.9,9.3
2010,10,10.1,15.4,21.2,25.9,29.6,28.9,31.3,27.4,22.4,17.3,12.1
