Year,Area (m2)
1900,199600000
1901,199600000
1902,199600000
1903,199600000
1904,199600000
1905,199600000
1906,199600000
1907,199600000
1908,199600000
1909,199600000
1910,199600000
1911,199600000
1912,199600000
1913,199600000
1914,199600000
1915,199600000
1916,199600000
1917,199600000
1918,199600000
1919,199600000
1920,199600000
1921,199600000
1922,199600000
1923,199600000
1924,199600000
1925,199600000
1926,199600000
1927,199600000
1928,199600000
1929,199600000
1930,199600000
1931,199600000
1932,199600000
1933,199600000
1934,199600000
1935,199600000
1936,199600000
1937,199600000
1938,199600000
1939,199600000
1940,199600000
1941,199600000
1942,199600000
1943,199600000
1944,199600000
1945,199600000
1946,199600000
1947,199600000
1948,199600000
1949,199600000
1950,199600000
1951,199600000
1952,199600000
1953,199600000
1954,199600000
1955,199600000
1956,199600000
1957,199600000
1958,199600000
1959,199600000
1960,199600000
1961,199600000
1962,199600000
1963,199600000
1964,199600000
1965,199600000
1966,199600000
1967,199600000
1968,199600000
1969,199600000
1970,199600000
1971,199600000
1972,199600000
1973,199600000
1974,199600000
1975,199600000
1976,199600000
1977,199600000
1978,199600000
1979,199600000
1980,199600000
1981,199600000
1982,199600000
1983,199600000
1984,199600000
1985,199600000
1986,199600000
1987,199600000
1988,199600000
1989,199600000
1990,199600000
1991,199600000
1992,199600000
1993,199600000
1994,199600000
1995,199600000
1996,199600000
1997,199600000
1998,199600000
1999,199600000
2000,199600000
2001,199600000
2002,199600000
2003,199600000
2004,199600000
2005,199600000
2006,199600000
2007,199600000
2008,199600000
2009,199600000
2010,199600000
