Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,3.708,1.233,8.806,20.357,17.475,2.836,6.157,6.815,12.443,9.251,1.3,0.755
1901,0.733,2.219,0.137,3.977,4.825,3.348,3.02,2.261,4.623,0.887,2.555,0.033
1902,1.369,0.856,1.342,3.081,10.433,0,8.067,0,9.219,2.175,4.029,5.175
1903,6.054,3.051,2.522,2.077,7.196,12.699,7.888,2.115,8.18,2.046,0,0
1904,0,0.223,0,7.207,6.993,7.644,4.07,2.608,15.868,5.35,1.914,0.455
1905,0.362,2.394,9.484,13.464,7.383,7.762,2.703,1.995,7.295,4.295,5.375,3.315
1906,0.406,2.546,0.843,6.083,7.411,2.174,10.368,8.903,8.611,2.944,3.105,0.039
1907,0.453,0,0.572,3.746,5.199,0.008,7.125,0.805,2.812,11.842,8.036,0
1908,0.321,0.49,2.308,8.746,13.021,1.031,5.586,7.478,5.393,3.732,4.164,0
1909,0.135,0.725,1.374,3.453,4.984,4.907,4.954,3.707,3.1,1.082,2.253,2.292
1910,0.851,0,5.666,8.333,4.335,1.29,0.769,1.126,3.561,5.499,0.164,0.094
1911,0.8,6.37,5.357,10.259,1.332,0.034,2.923,4.169,1.317,5.642,5.414,4.091
1912,0,2.111,2.556,5.177,3.31,11.736,0.796,0.77,3.732,8.579,2.223,5.003
1913,0.925,2.937,1.533,3.146,6.254,10.95,1.687,3.826,8.654,9.272,11.035,4.676
1914,0.153,1.888,0.537,7.048,17.019,3.724,1.416,12.735,2.937,7.825,7.256,1.083
1915,4.232,2.248,2.908,9.008,3.508,0.705,3.619,7.878,8.592,2.989,0,0
1916,1.101,0,0.461,7.827,1.616,0.621,8.156,10.708,3.219,3.6,1.222,0
1917,0.559,0,0.195,1.279,3.508,1.098,1.673,1.227,4.601,0.052,0.408,0
1918,0.248,0,1.022,5.134,7.549,3.802,0.737,1.478,4.122,9.794,3.69,5.469
1919,4.842,2.806,6.316,6.469,8.302,11.234,11.251,5.422,19.074,13.119,4.24,2.152
1920,4.924,0.255,0.752,0.692,6.982,7.605,4.806,10.602,3.772,4.428,0.279,0
1921,0,2.367,6.122,5.279,6.715,5.909,3.343,1.148,3.039,2.558,1.103,0.075
1922,0.148,0.538,4.31,13.499,8.666,12.212,4.119,1.199,4.736,4.323,1.225,0
1923,1.76,8.262,6.769,6.193,0.611,3.951,5.805,5.589,8.035,10.999,8.99,3.802
1924,0.647,3.616,1.707,4.436,7.048,2.137,0.697,0,8.572,1.782,0.057,3.527
1925,0.196,0,1.989,3.202,14.21,0.681,3.306,4.38,7.298,5.064,1.592,2.571
1926,3.743,0.251,6.105,7.699,5.292,7.692,7.164,2.705,1.52,9.648,4.917,3.944
1927,0.911,5.644,3.803,4.007,0.807,8.699,4.177,1.055,2.874,6.47,0,2.685
1928,1.748,2.701,1.187,2.374,8.969,4.091,3.087,4.585,15.091,1.55,0.661,1.745
1929,0.727,0.318,3.697,3.223,10.232,2.764,3.517,0.01,5.074,4.709,0.215,4.936
1930,0.364,0.124,3.322,5.869,5.561,8.3,1.498,0.848,0.866,21.321,6.002,1.44
1931,9.863,2.502,2.714,8.01,13.576,7.703,5.481,6.093,0,1.098,0.871,5.529
1932,1.068,4.889,2.433,2.618,6.192,1.438,7.734,12.465,22.306,0.606,2.249,2.174
1933,1.679,3.16,0.506,1.093,6.684,1.373,1.113,5.327,2.715,2.782,0.819,0.687
1934,5.435,0.264,2.379,4.776,4.516,0.99,5.696,1.031,6.242,0.625,1.314,2.566
1935,0.944,2.54,1.917,4.564,15.421,14.7,8.043,0.531,15.107,2.463,0.781,4.338
1936,0.741,0.03,2.455,3.329,9.385,9.638,4.415,3.769,13.865,5.104,1.828,0.817
1937,0.66,0.534,2.622,0.882,3.94,3.039,2.766,0.976,4.668,3.557,0.842,10.764
1938,3.87,0.748,1.401,7.804,2.098,2.1,8.221,1.502,1.04,0.525,0,2.67
1939,4.001,0.193,0.539,1.374,5.644,2.926,6.511,7.786,2.87,5.202,3.928,3.193
1940,0.983,3.425,4.303,5.895,10.775,13.554,0.962,10.214,0.673,3.328,1.788,1.934
1941,1.888,3.982,5.209,8.902,4.998,4.35,6.708,2.082,11.105,6.104,0.727,0.795
1942,0.834,2.876,0.852,8.501,8.336,2.011,5.324,9.203,10.159,3.623,1.237,1.252
1943,1.326,0.17,1.571,3.557,11.17,5.468,5.236,0,9.702,2.969,4.297,4.478
1944,4.113,2.708,2.554,2.103,8.9,6.831,0.533,13.027,6.523,3.986,2.909,3.748
