years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,11.9,12.2,16.8,20.3,24.3,29.2,29.4,29.1,28.5,23.1,16.7,11.4
1901,13.3,11.5,17.7,20.1,24.8,29.5,30.6,31.2,27.3,23,17,11.1
1902,11,11.7,19.5,23.5,26.3,29.9,29.9,30.9,26.6,22.1,17.5,11.1
1903,9.8,10,14.9,20.4,23.3,24.7,28.8,29.2,24.8,20.4,14.5,11.4
1904,10.7,16.1,21.7,22.7,24.7,28,28.7,29.4,26.7,22.1,15.8,11.7
1905,10.6,8.9,19.3,20.4,25.8,28.2,29.9,31.2,28,22.5,17.5,8.6
1906,11.4,12.4,16.5,21.9,25.4,29.8,28.3,28.3,26.4,19.2,16,15.3
1907,16.3,15.8,22.8,21.9,23.5,29,29.3,30.6,28.4,22.7,13.3,12.3
1908,12.7,13.5,21.3,22.1,25.9,29.8,29.3,29,26.6,21,16,13.3
1909,14.4,15.6,19.6,22.1,26.3,30.2,31.2,30.6,26.5,22.2,19.4,9
1910,12.7,12.2,20,21.6,25.5,29.8,31.6,32.1,28.8,21.1,16.9,12.3
1911,15.3,15.2,19.9,21.4,24.8,30.7,30.6,31.5,30.3,21.7,12.4,10.4
1912,9.9,11.7,14.8,21.4,26.3,27.2,30,31.1,27.9,22.2,14.7,9.6
1913,10.4,12,16.1,20.7,25.4,26.7,29.9,29.8,25.5,20.4,18.4,11.5
1914,13.2,12.6,16.1,20.6,24.8,28.4,30.8,29.6,27.6,21.9,16.3,8.6
1915,10.1,14.7,12.8,21.1,25.5,30,31.2,29.4,27.5,22.3,17.6,13.9
1916,14.8,15.6,21.4,21.4,26.6,31,29.3,28.6,26.1,22.4,15.6,11.7
1917,13.1,15,18.6,22.4,24.2,30.2,31.5,31.5,27,20.4,17.6,11.5
1918,8.9,14.7,20.9,22.9,25.5,29.7,31.2,30.7,25.4,21.8,14.2,11.9
1919,9.4,12,16.5,20.7,24.7,26.3,27.5,28.8,25.6,23.2,15.8,10.5
1920,9.9,14.6,16.7,22.3,26.2,27.4,30.1,28.9,28.1,22,14.8,11.6
1921,14.2,14.9,20.4,21.3,25.1,28.4,30.5,30.7,29.3,22.1,18.3,15
1922,10.1,15.2,17.7,22.8,26.4,27.2,29.7,30.6,27.2,21.8,16.4,14.3
1923,15.5,12.1,15.2,21.6,26,28.8,29.6,30,26.9,20.1,14.2,12.1
1924,8.6,12.7,15.6,21.6,23.1,29.1,30,31.5,26.2,21.7,18.7,11.3
1925,10.7,16.3,20.5,25,26.2,30,31.1,29.8,27.5,20.9,15.1,9.2
1926,9.4,16.2,16.4,20.3,25,28.9,29.4,30.4,29.5,24.9,14.9,12
1927,12.3,15.9,17.6,24.2,28.6,28.3,29.6,30.9,28.8,23.9,19.9,8.1
1928,10.1,13.8,18.4,20.4,25,29.5,30.8,30.6,25.7,23.3,15.1,11.6
1929,12.4,11.2,19.7,24.4,25.4,29.2,29.4,30.7,27.5,22.1,12.2,11.3
1930,6.8,16.7,15.7,23.5,25.2,27.3,29.9,31.1,28.7,21,14.6,10
1931,10.8,14.2,14.3,18.5,22.8,27.9,29,28.4,28.9,25.5,18.5,11.4
1932,12.5,16.6,14.9,22.2,25,29.6,30,30.1,25,19.8,13,9.8
1933,13.9,12,18.9,22.2,27.4,28.2,31.1,29.7,28.9,24.2,17.2,15.1
1934,12.2,13.8,16.8,23.1,26.1,30.7,30.8,30.7,27.5,24.5,18.2,12.9
1935,13.8,13.5,21.1,23.5,24.8,27.4,29.4,30.4,25.6,23,15.9,11.4
1936,10.5,12.7,19.5,21.3,25,29.3,29,30.2,27.3,19.7,14.2,13.1
1937,11.3,14.3,15.9,22.6,26.6,29.7,30.3,31.8,27.8,23.1,15.2,11.4
1938,12.7,16.4,21.2,21,25.9,29.9,31,30.5,27.7,23.5,15,12.3
1939,12.7,12.6,20,23.5,27.3,30.1,31,29.4,28.1,22.9,14.3,13.3
1940,6.8,12.9,17.9,21.6,24.6,26.9,29.5,30,26.4,22.1,14.6,13.3
1941,12.8,12.5,14.2,21.3,24.9,27.9,30.1,30.9,28.1,25.1,15.6,12.7
1942,10.5,12.4,17.1,22.4,25.6,30,29.2,30.1,25,22,17.6,13
1943,10.8,15.7,16.6,24,27.1,28.9,30.7,31.9,25.7,20.3,14.6,9.7
1944,10.4,15.1,17.7,22.4,24.7,29,31.5,30.5,26.7,21.7,16.4,10
1945,11.7,14.2,20.3,21.6,26,30.2,31.2,31.3,28.1,21.1,17.5,10.8
1946,9.2,13.7,18.9,23.5,25,27.3,30.3,30.7,27.9,23,16.1,13.4
1947,8.2,10.3,14.9,21.2,25.4,28.7,30.1,29.6,28,25.8,15.2,12.5
1948,8.8,12.4,17.3,24.1,27.2,30.1,29.5,30.8,26.2,21.1,14.8,14.1
