Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,0.961,0.928,1.378,5.827,7.219,8.091,6.262,4.068,11.847,3.009,0.625,0.674
1901,0.698,1.674,1.474,2.861,10.954,2.751,7.444,8.079,4.521,3.217,3.092,0.64
1902,0.919,0.44,1.908,0.263,6.027,1.601,4.089,6.413,2.32,1.326,1.649,1.658
1903,0.22,3.675,1.047,1.82,2.273,15.009,2.704,5.771,3.651,0.689,0.004,0.291
1904,0.223,0.425,0.512,0.934,4.231,6.658,8.298,5.845,18.011,2.49,0.319,1.692
1905,2.181,3.622,5.341,9.068,4.052,4.43,5.342,4.085,6.29,1.489,7.859,1.356
1906,0.518,1.431,1.343,4.852,2.528,4.053,15.088,4.597,6.515,4.564,2.42,2.477
1907,2.231,0.097,0.19,3.862,5.398,3.708,9.298,11.309,1.68,1.902,1.572,0.386
1908,0.643,2.051,0.068,4.082,2.497,2.381,9.658,9.732,1.773,1.922,2.397,0.116
1909,0.463,0.59,2.846,1.157,3.419,3.573,6.003,9.106,8.762,3.431,2.079,1.397
1910,0.629,0.721,0.635,2.851,1.215,4.89,6.813,9.658,1.936,1.979,0.987,0.464
1911,0.657,3.587,0.408,1.496,7.112,3.031,12.18,5.731,3.733,5.111,1.041,2.296
1912,0.018,2.749,1.952,2.29,5.119,8.343,5.261,7.167,2.032,0.904,0,0.642
1913,0.804,1.956,0.934,3.859,1.317,17.063,4.012,4.322,6.553,0.915,2.266,4.233
1914,0.033,0.465,0.765,4.552,9.556,7.305,16.121,6.064,1.42,5.77,0,1.929
1915,1.092,2.063,2.614,11.862,4.57,1.766,10.064,7.098,4.028,1.039,0.41,0.735
1916,3.201,0.017,1.697,5.305,0.636,1.711,6.864,11.18,2.119,6.398,0.205,0.644
1917,1.097,1.252,0.438,0.911,5.227,1.539,5.433,8.494,5.306,0.402,1.007,0.025
1918,2.075,1.52,2.745,1.607,1.215,4.724,7.181,8.127,3.972,5.07,1.967,3.466
1919,0.083,1.827,9.728,7.562,8.045,6.914,11.551,5.091,8.058,5.831,1.701,0.604
1920,1.275,1.686,0.65,0.976,6.514,7.074,6.218,9.077,5.313,5.025,0.217,0.452
1921,2.29,1.062,1.594,0.211,8.557,14.796,13.821,6.399,1.291,0.229,0,0.347
