Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,1.66,0.456,1.272,3.57,4.271,5.454,6.313,3.237,12.54,6.334,0.74,0.389
1901,0.646,2.525,0.271,2.545,3.091,2.484,6.75,2.94,4.57,4.539,8.399,0.611
1902,1.901,0,1.605,0,2.394,2.273,8.909,4.641,4.929,2.55,1.757,1.536
1903,0.719,2.8,0.34,0.752,2.02,11.146,1.821,2.373,2.177,0.039,0,0
1904,0.298,0.382,0,0.374,2.795,5.205,3.489,3.991,12.106,5.472,0.604,1.472
1905,1.672,5.459,5.668,6.803,0.394,4.323,10.534,1.537,5.716,1.04,6.753,2.53
1906,1.174,1.442,0.553,5.966,1.224,1.13,7.316,4.762,2.421,2.154,6.511,3.788
1907,1.276,0,0,2.448,2.067,5.687,4.648,9.675,2.723,6.527,3.083,0.558
1908,0.642,1.101,0.155,3.619,0.563,1.466,6.424,7.479,2.718,0.174,1.947,0.087
1909,0.13,0.178,2.3,0.332,0.366,2.368,5.041,4.889,1.551,1.637,0.845,0.925
1910,0.286,0.289,0.27,0.382,0.604,2.336,1.54,6.446,1.632,1.04,0.786,0.128
1911,0.563,4.266,1.298,4.974,6.47,1.709,9.106,3.223,3.728,3.755,0.838,1.703
1912,0.062,2.559,0.298,0.801,1.014,3.912,4.352,6.441,6.015,2.104,0.853,1.956
1913,1.099,1.303,1.559,3.459,0.557,9.761,1.795,1.584,5.485,2.462,2.783,2.846
1914,0.121,0.402,0.315,1.967,6.518,6.243,6.355,3.953,0.753,7.441,1.017,4.272
1915,1.033,2.66,3.742,13.49,2.084,1.164,4.17,4.224,6.431,0.424,0,2.292
1916,1.476,0,1.115,3.637,0.884,0.693,2.912,16.347,1.706,5.959,1.036,0.868
1917,0.804,0.466,0.447,0,2.468,0,0.702,7.78,2.682,0,0.363,0
1918,1.59,0.112,0,0.262,1.139,1.209,4.239,3.972,2.277,3.473,3.765,2.971
1919,0.231,0.248,10.195,6.691,2.912,6.981,1.929,2.917,14.707,2.305,1.754,0.689
1920,2.815,1.404,0.288,0.002,4.066,5.946,2.945,6.081,4.373,3.312,0.636,0
