Year,Area (m2)
1900,60018980.66
1901,60018980.66
1902,60018980.66
1903,60018980.66
1904,60018980.66
1905,60018980.66
1906,60018980.66
1907,60018980.66
1908,60018980.66
1909,40468600
1910,60702900
1911,56656040
1912,56656040
1913,56656040
1914,2832802
1915,56656040
1916,56656040
1917,56656040
1918,56656040
1919,56656040
1920,56656040
1921,56656040
1922,56656040
1923,56656040
1924,56656040
1925,56656040
1926,56656040
1927,56656040
1928,56656040
1929,56656040
1930,56656040
1931,56656040
1932,56656040
1933,56656040
1934,56656040
1935,56656040
1936,56656040
1937,56656040
1938,56656040
1939,56656040
1940,56656040
1941,56656040
1942,56656040
1943,56656040
1944,56656040
1945,56656040
1946,56656040
1947,56656040
1948,56656040
1949,56656040
1950,56656040
1951,56656040
1952,56656040
1953,56656040
1954,56656040
1955,56656040
1956,56656040
1957,56656040
1958,56656040
1959,56656040
1960,56656040
1961,56656040
1962,56656040
1963,56656040
1964,56656040
1965,56656040
1966,56656040
1967,56656040
1968,56656040
1969,56656040
1970,56656040
1971,56656040
1972,56656040
1973,56656040
1974,56656040
1975,56656040
1976,56656040
1977,56656040
1978,56656040
1979,56656040
1980,56656040
1981,56656040
1982,56656040
1983,56656040
1984,56656040
1985,56656040
1986,56656040
1987,56656040
1988,56656040
1989,56656040
1990,56656040
1991,56656040
1992,56656040
1993,56656040
1994,56656040
1995,56656040
1996,56656040
1997,56656040
1998,56656040
1999,56656040
2000,56656040
2001,56656040
2002,56656040
2003,56656040
2004,56656040
2005,56656040
2006,56656040
2007,56656040
2008,56656040
2009,56656040
2010,56656040
