years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,8.5,9.4,13.4,16,22.3,27.4,27.7,27.4,23.8,18.9,12.3,7.1
1901,8,7.9,12.3,16.3,22.8,27.1,27,27.7,23.9,19.4,12.3,6.5
1902,7.7,9.5,12.5,19.9,23.9,28.4,25.8,27.2,23.2,17.5,11.4,7.6
1903,7.5,5.8,10.8,18.4,21,23.7,28.4,27.8,24.3,16.6,12,7.9
1904,7,11.2,16.7,17.9,22.2,25.8,27.4,26.6,22.5,16.6,10.3,6.5
1905,7.1,3.6,14.2,15.5,22.2,26.7,26.1,26.8,23.9,16.4,11.3,3.7
1906,6.1,8.3,11.9,16.3,22.4,27.3,26.2,25.2,23.7,15.4,8.4,8.7
1907,9.9,11.1,16.4,16.9,19.2,25.7,26.8,27.5,23.4,17,8.9,8
1908,6.8,8.8,16.1,17.4,20.9,26.6,25.4,25.4,22.2,16.6,10.9,7.8
1909,10.3,10.2,11.7,18.2,21,26.8,28.1,26.8,22.1,17.5,14.1,4.3
1910,8.1,8.4,16.4,18,22.4,27.4,29,28.4,25,17.1,13.5,7.7
1911,11.3,9.7,15.4,18.3,22.1,26.8,26.5,26.7,25.5,17.6,10,4.1
1912,6.7,7.5,11.7,16,22.6,25.5,27.5,26.8,21.5,16,10.2,4.7
1913,5.6,7.8,11.1,16.8,22.7,24.8,27.4,26.8,21.2,16.7,13.1,5.2
1914,10.7,8.8,12.4,17.6,21.8,25.9,26.7,27,23.7,17.6,12.4,4.6
1915,5.1,9.9,8.7,16.6,20.9,26.2,27.6,25.6,23.1,18,12.3,8.1
1916,9.9,11.4,15.8,16.6,22.9,27.8,26.9,25.2,22,17.3,9.6,6.5
1917,7.3,10,11.5,16.5,19.4,25.6,28.5,27,23.7,16.5,12.2,6.2
1918,2.9,10.4,14,16,21.1,26.4,27.4,26.2,21.5,17.2,8.5,3.8
1919,3.5,7.5,11.4,17.5,20.8,23.5,26.4,27.2,23.1,17.9,10.8,5.9
1920,6,10.3,11.3,15.8,21.6,24.8,27.1,24.9,23.6,16.8,9.6,6.3
1921,7.8,9.4,14.1,16,21.8,24,26.1,26.7,25.4,18.6,12.1,9.6
1922,4.7,8.7,11.2,16.8,21.7,25.3,27.2,27.3,23.5,16.9,10,8.7
1923,9.8,7.7,10.5,17.1,22.1,26.8,27,26.3,23.1,15.9,10,4.2
1924,4,8,10.1,15.9,20.6,27.8,27.4,28.4,22.3,17.1,12.6,5.3
1925,4.9,11.5,14.9,19.7,22.4,27,28,25.1,23.3,17,10.6,4.9
1926,4.7,11.2,10.1,15.5,20.9,26,26.6,26.3,24.3,18.7,10.8,6.2
1927,8.9,12.1,12.6,19.1,24.2,26.3,27.7,27.6,23.6,18,14.3,4.7
1928,7.6,7.7,14.9,16.3,22.3,28,28.2,25.6,22.3,18.8,9.7,6.3
1929,6.3,5.7,12.2,19.2,22,27.1,27.3,27.3,22,17.3,7.9,7.6
1930,3.3,11.5,11.4,19.2,21.1,26.2,27.9,27,25,17.1,10.2,5.7
1931,6.5,10,11,15.3,20.5,26.4,27.9,26.1,26.7,20.1,11.9,6.1
1932,6.7,11.7,11.1,17.4,21.1,25.9,26.9,26.8,21.4,15.5,11.8,4.6
1933,7.7,6.8,13.6,15,21.1,26.2,28.3,27.1,25.7,19,12.7,11.4
1934,7.6,10.5,12,18.7,22.8,27.7,28.7,28.1,23.9,21.1,13.7,7.9
1935,10,9.9,15.8,19.3,20.9,26.8,27.4,28.2,21.3,18.8,11.7,7.1
1936,6.6,10.1,14.8,17.9,22.4,27.3,27.5,27.3,23.8,16.5,10,7.6
1937,5.7,10.4,11.2,18.6,22.7,26.1,28.3,27.6,23.3,18.3,10.3,6.6
1938,7.6,11.3,14.9,17.8,22.9,25.9,26.2,27.4,23.5,18.8,10.1,8
1939,8,6.7,14.4,18.5,23.2,28.1,27.9,26.4,24.3,17.8,9.5,8.1
1940,3.4,8.4,13.4,17.8,22.2,24.4,27.4,26.1,23.9,18.1,9.9,9.3
1941,7.7,10.4,11.5,16.5,21.4,24.1,26.7,26.7,22.6,18.3,11.5,7.5
1942,6.2,7.9,11.9,16.7,21.5,27,27.8,26.4,22.2,16.9,13.2,8.8
1943,7.6,10.6,11.7,19.4,22.1,27.1,27.3,29.2,23,16.9,10.1,5.1
1944,5.7,8.8,12.1,16.3,22.1,27.2,28.1,27.2,22.1,17.5,10.7,5
