Year,Area (m2)
1900,33912686.8
1901,33912686.8
1902,33912686.8
1903,33912686.8
1904,32374880
1905,32374880
1906,32374880
1907,32374880
1908,2428116
1909,32374880
1910,32374880
1911,32374880
1912,32374880
1913,32374880
1914,67016001.6
1915,32374880
1916,32374880
1917,32374880
1918,32374880
1919,32374880
1920,32374880
1921,32374880
1922,32374880
1923,32374880
1924,15782754
1925,32374880
1926,32374880
1927,32374880
1928,32374880
1929,32374880
1930,32374880
1931,32374880
1932,32374880
1933,32374880
1934,32374880
1935,32374880
1936,32374880
1937,32374880
1938,32374880
1939,10117150
1940,32374880
1941,32374880
1942,32374880
1943,32374880
1944,32374880
1945,32374880
1946,32374880
1947,32374880
1948,32374880
1949,32374880
1950,32374880
1951,32374880
1952,32374880
1953,32374880
1954,32374880
1955,32374880
1956,32374880
1957,32374880
1958,32374880
1959,32374880
1960,32374880
1961,32374880
1962,32374880
1963,32374880
1964,32374880
1965,32374880
1966,32374880
1967,32374880
1968,32374880
1969,32374880
1970,32374880
1971,32374880
1972,32374880
1973,32374880
1974,32374880
1975,32374880
1976,32374880
1977,32374880
1978,32374880
1979,32374880
1980,32374880
1981,32374880
1982,32374880
1983,32374880
1984,32374880
1985,32374880
1986,32374880
1987,32374880
1988,32374880
1989,32374880
1990,32374880
1991,32374880
1992,32374880
1993,32374880
1994,32374880
1995,32374880
1996,32374880
1997,32374880
1998,32374880
1999,32374880
2000,32374880
2001,32374880
2002,32374880
2003,32374880
2004,32374880
2005,32374880
2006,32374880
2007,32374880
2008,32374880
2009,32374880
2010,32374880
