years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,8.6,8.8,14.7,17,23,28.6,28.4,28.3,25.5,20.7,12.8,8
1901,9.1,8.2,13.7,18,23.8,29.3,29.4,29.5,25.3,20.6,13.6,7.4
1902,7.3,9.5,13.8,20.8,25,30,28,28.9,24,19.3,13.5,7.7
1903,7.8,6.4,12.7,19.1,21.7,24.7,28.9,28.4,24.6,18,12.7,7.6
1904,7.3,12.8,17.6,19.7,23.2,26.9,27.7,27.8,23.5,18.1,11.3,7.3
1905,6,3.8,14.7,16.6,23.3,27.2,27.1,28.7,25.4,17.6,12.3,4.9
1906,7.4,8.6,12.4,18.2,22.9,27.6,26.1,25.8,24.5,16.5,10.3,10.1
1907,10.7,12.3,17.8,18.3,20.6,27.4,28.3,29.3,26,19.3,9.9,9
1908,7.9,10.3,17.3,18.6,23.1,28.5,26.8,27.1,23.4,18.5,12.3,9.4
1909,10.5,11.5,14.6,19.4,23.2,28.3,29.2,28.2,24,19.1,15.4,5
1910,9.1,8.9,17.2,18.7,23.2,28.7,30.4,29.8,26.8,18.6,13.6,8.2
1911,11.4,10.3,16.4,18.8,23.1,28.8,28.4,29.1,27.7,19.1,10.7,5.5
1912,7.2,8.3,12.4,17.9,24,26.9,29.6,29.1,24,18.9,11.5,6.1
1913,7.5,8.1,12.2,17.9,24.3,25.9,28.4,28.1,22.4,17.4,13.7,5.7
1914,11,9.3,13,18.7,22.6,26.9,28.2,27.4,24.9,18.7,13.1,4.8
1915,6.4,10.3,9.3,18,22.2,28.1,28.5,26.4,24.6,18.9,13.5,9.2
1916,9.8,11.9,17.5,17.9,24.1,29.8,28.2,27.3,23.8,19.2,11,7.7
1917,7.5,10.6,13.5,18.6,21,28,29.8,28.9,24.7,17.8,13.7,6.8
1918,4.3,11.5,15.5,17.5,23.4,27.9,29.4,28.1,23.2,19.3,10.2,5.5
1919,4.7,9.2,13.3,19.1,22.2,25.2,28,28.6,24.3,19.5,11.9,7
1920,5.7,10.6,12.8,16.8,23.2,26.2,28.1,25.9,25.1,18.5,10.9,6.7
1921,9.7,10.2,16.2,17.6,23.2,25.9,27.3,28.4,27,20.2,13.9,10.3
1922,5.8,10.3,13,18.1,23,26.1,28.9,29.1,25.1,18.2,12.1,9.7
1923,10.8,7.8,11.4,18.1,23.2,28.4,28.7,28.3,25.2,17.2,11,6.4
1924,5.2,8.6,11.4,17.4,21.5,30,28.9,30.1,23.5,18.9,13.8,6.8
1925,5.8,12.8,16.6,21.5,23.4,28.7,29.6,26.4,24.6,17.6,11.4,5.5
1926,5.1,11.8,12,16.3,21.9,27.2,27.6,27.5,25.4,19.7,11.8,7.6
1927,9.4,12.6,13.9,19.7,25.9,27.8,28.4,28.9,24.8,19.6,15.7,5.1
1928,8.5,9.3,15.7,17.5,23,28.7,28.8,26.9,23.6,20.6,10.9,7.7
1929,7.7,6.8,13.9,19.7,21.7,28.6,27.9,28.1,24.4,18.5,8.1,7.7
1930,3,12.2,11.9,20.8,22.8,26.7,28.8,28.3,26.6,19,11.1,5.8
1931,7.3,10.4,12,16.7,21.4,27.7,28.3,27.6,28.1,21.8,13.2,6.9
1932,7.3,12.9,11.8,19.6,22.6,28,29.2,28.1,21.8,17,11.2,5.3
1933,9.1,8,15.4,17.8,23.3,28.2,29.5,28.4,26.8,20.9,13.6,11.3
1934,8,10.6,14,20.2,24.9,29.9,29.8,29.5,25.9,22.2,14.3,9
1935,10.2,9.7,16.8,20.2,21.8,27.6,28,28.8,22.1,20,12.6,7.2
1936,6.8,9.7,15.8,19,23.5,28.9,28.4,28.6,24.1,17.1,10.4,8.5
1937,5.8,10,11.8,19.5,24.5,28.4,29.6,29.4,25.4,19.8,11.6,7.5
1938,8.4,12.3,16,18.6,24.1,28.2,27.9,28.2,24.9,20.7,11,7.7
1939,8.5,7.6,15.6,19.3,24.3,29.4,29,27,25.7,19.9,10.1,9.5
1940,4,9.7,15.1,19.2,22.9,25.4,28,26.8,24.2,19,10.9,8.8
1941,7.6,9.7,10.9,17.7,22.5,24.8,27.1,27.1,23.8,19.8,12.3,8.1
1942,5.6,7.8,11.5,18,22,27.3,27.9,26.5,22,17.5,13.7,8.7
1943,6.8,10.9,12.7,20.8,22.4,27.2,28,30.2,23.7,17.4,10.5,5.7
1944,6.2,11,13.5,16.9,21.9,27.2,27.8,27.4,22.7,18.3,11.7,5.5
1945,8.7,11.5,16,17.6,23.6,26.8,27,28.5,25.4,18.1,13.2,6.8
1946,5.9,9.7,14.5,20.9,22.7,27.4,28.8,29,26.1,20.9,11.6,9.3
1947,4.7,7.2,12.3,18,23.6,28.3,28.7,27.9,25.4,22.1,10.7,7.1
1948,4.3,9.1,12.3,22.3,24.6,29.5,29.3,29.5,24.8,18.7,11.2,10.2
1949,2.7,9.9,14.8,16.6,24,27.9,28.9,27.1,24.8,17.8,13.7,8.2
1950,10.8,12.3,14.5,19.3,23.5,28.3,28.1,27.8,24.8,21.6,12.6,8.2
1951,6.8,10,13.3,17.9,23.8,28.8,30.2,29.2,25.5,20.7,10.8,9.1
1952,10.9,10.4,12.5,17.7,22.7,28.8,27.9,30.3,24.5,17.9,10.9,6.9
1953,11.2,8.9,16.1,18.4,22.7,31,30,28.7,25.4,19.2,12.7,6
1954,9.3,13,14.3,21.5,22.9,27.7,29.5,28.8,26.7,20.1,12.5,8.9
1955,6.1,8.4,14.6,19.9,23.3,27.3,27.9,27.7,25.2,19.4,11.9,8.9
1956,8,8.2,14.7,18.1,25.3,29.8,29.5,28.6,25.8,20.8,10.5,8.6
1957,8.4,13.5,14.2,17.6,22,27.5,29.9,29.1,24.5,17.5,9.9,9.3
1958,5.8,8.6,10.1,17.4,22.9,29.4,30,28.8,25,17.2,12.2,7.2
1959,6.6,9.1,12.7,17.5,23.9,27.9,27.1,28.6,25.8,18.7,9.4,8
1960,6.5,7.3,11.9,19.5,22.9,29,27.8,27.8,24.9,20.1,12.9,4.9
1961,4.8,9.8,14,18.5,23.9,26.8,27,27,24.7,19.5,10,7.8
1962,4.5,13.2,12.1,19.5,25.4,27.4,28.9,29.1,25.1,20.4,13,7.6
1963,4.5,9.5,15,21.4,24.4,27.6,29.5,28.5,25.1,20.9,12.6,4.6
1964,5.1,5.7,13.2,18.7,24.4,27.4,29.7,29.5,24.2,18.2,13,7.8
1965,8.9,7.3,10.3,20.4,23.3,27.2,28.6,27.1,25.1,18,14.9,9.4
1966,4.5,6.4,14.8,18,22.7,26.7,29.7,27.3,24.9,16.9,14.5,6.2
1967,6.5,9.2,16.5,21.9,22.4,28.3,28.1,26.9,22.8,18.8,13,5.6
1968,6.8,8.2,12.7,17.5,23.4,27.5,26.9,27.3,22.8,19.4,11.2,6.8
1969,9.2,9.9,10,19.4,22.7,27.5,30.3,29.4,25,18.1,10.9,8.8
1970,5.9,9.1,10.5,17.7,21.5,26.5,28.6,28.5,24.2,15.5,10.7,10.2
1971,8,8.9,14.3,17.7,22.8,27.7,28.6,24.9,23.4,18.7,12.8,9.1
1972,7.9,9.4,16.6,21.4,22.1,27.5,27.8,26.4,24.9,18.7,9.2,6.4
1973,4.3,6.8,13.7,15.8,21.8,26.8,27.5,27,24,19.6,14.2,8.1
1974,6.4,8.8,17,19.1,24.6,28.1,28.9,26.7,20.4,17.9,11.8,7
1975,7,9,13.1,17.2,21.7,27.8,26.4,27.2,21.7,18,11.9,7.8
1976,6.3,11.9,13.8,19.4,20.3,27.6,25.9,27.4,22.8,15.1,8,5.8
1977,4.3,9.6,12.4,18,24.5,28,29.1,30.2,27.8,20,12.3,9.1
1978,4.4,6.2,13.9,20.7,24,27.8,29.2,27.3,23.3,17.7,12.9,6.3
1979,3.3,8.1,12.9,18.4,21.8,25.8,29,26.6,23.9,20,9.4,7
1980,7.5,8.9,12.7,16.4,22.7,30.5,30.8,28,25,17,9.6,8.5
1981,6.8,9.5,12.5,18.6,22.1,27.3,28.5,26.5,24.9,18.8,14.2,9
1982,6.9,8.3,14.9,18.7,22.1,27.3,29.2,29.2,26.2,19.2,11.5,6.8
1983,6.2,9.2,13.8,16,22.9,26.9,29.5,29,26.5,20.1,13.6,4
1984,4.8,9.5,13.8,18.3,24.1,27.4,28.5,28.4,23.8,17.4,11.6,9
1985,4.6,7.6,15,19.8,24.4,26.7,27.9,29.4,24.9,18.5,14.1,5.5
1986,7.6,11.2,15.4,21.7,23.4,26.7,28.5,27.6,25,17.5,11.2,6.8
1987,6,9.4,11.1,15.8,21.4,25.5,28,28.1,23.5,19.9,11.4,6.9
1988,4.9,8.8,12.8,18.2,22.6,27.2,27.7,27.8,24.5,19.4,13.1,6.7
1989,7.7,8.1,14.5,20.2,25,27.5,29.2,27.8,23,19.4,12.1,4.1
1990,7.4,10.6,13.2,19.3,22.9,31.1,27,26.4,24.5,18,13.5,6.5
1991,5.3,10.7,14.8,18.5,24.9,28.4,27.6,27.2,22.1,19.2,9.6,7.6
1992,5.9,10.7,14.9,18.1,21.1,26.5,28.6,26.8,25.2,19.6,9.8,8.4
1993,7.2,9.1,13.4,18.6,23,28,29.7,29.2,23.8,18,10.1,8
1994,7.4,9.7,14.8,18.7,23.3,30.3,29.8,28.8,24.1,19.5,13.8,9.4
1995,7.6,11.9,13.5,17.9,23.4,26.7,29,28.7,24.4,19.2,13.2,7.7
1996,7.1,10.8,11,18,27.2,29.7,29.9,27.4,23.4,18.4,12.3,8.9
1997,6.1,8.1,15,15.7,22.9,26.8,29.5,28.5,25.6,18.8,11.5,6
1998,9.5,10.3,13.2,17.7,26.3,30.7,31.2,28.1,27,21.2,14.6,7.9
1999,10,12.7,14.6,19.6,24,27.7,29.1,29.8,25.4,19.2,14.7,7.7
2000,9.5,13.6,16.3,20.2,26.8,27.5,30.7,29.5,26.8,18.6,9.3,5.8
2001,5.9,10.7,12.3,20.3,25.2,30.1,31,29,25.5,20,13.3,7.9
2002,8.6,7.9,12.9,22.1,25,29.5,28.7,30.4,25.2,18.4,10.6,7.7
2003,7.9,9.1,14.7,20.6,24.7,27.9,28.6,29.4,24.6,20.1,13.5,8.9
2004,8.5,9.2,16.3,17.8,24.5,28.8,28.7,27.3,23.7,19.4,10.7,7
2005,9.9,9.9,13.4,18.3,23.1,29,29.1,27.2,27.1,19.7,12.7,8
2006,10.2,10.3,15.7,22,26.3,29,29.9,28.5,23.5,19.5,13.7,6.8
2007,5.1,9.7,16.2,16.9,21.6,26.8,26.9,28.1,25.8,20.8,12.9,8.9
2008,7,11.5,14.3,19.2,24.4,30.5,27.9,27.2,22.2,18.4,11.7,8.1
2009,7.7,12.6,16.5,19.3,25.2,28.5,29.2,29,23.9,18.4,13.3,5.5
2010,6.5,7.5,13.4,18.9,23.9,30,27.3,28.9,25.4,20.2,12.7,8.7
