Year,precipitations (cm),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
1900,4.707,3.538,6.524,6.567,6.495,0.597,7.571,1.198,8.799,7.099,0.548,2.62
1901,0.318,1.943,0,0.156,2.538,4.486,4.481,1.222,11.118,0,1.476,0
1902,0.667,0.194,0,4.249,2.823,0,2.481,0,10.715,0.612,3.152,1.908
1903,6.882,3.632,5.801,0.062,7.951,12.439,10.291,4.458,6.021,1.724,0.08,0.492
1904,0.028,0.641,1.993,2.336,7.082,5.475,11.18,1.304,15.423,3.597,1.769,0.833
1905,0.627,6.223,6.536,2.809,4.604,5.688,2.229,0,8.402,3.39,6.773,6.811
1906,0,3.278,2.814,6.156,4.44,2.07,10.589,8.564,8.697,7.142,4.624,1.281
1907,0.395,0,0.419,2.841,1.169,0.808,5.885,0,4.248,2.924,4.928,0.793
1908,0.948,0,1.53,10.053,7.437,2.037,5.783,3.13,6.418,4.632,3.815,0
1909,0,1.394,0.037,3.141,4.691,8.125,2.569,11.659,2.123,0.355,0,1.641
1910,0,0,2.074,4.686,2.983,2.813,1.687,1.821,17.939,3.125,0.149,1.182
1911,0.715,2.767,4.317,6.043,2.755,0.562,2.767,2.517,3.882,3.378,4.073,2.309
1912,2.43,2.571,0.01,5.59,1.1,18.8,0.437,0,5.549,12.021,2.682,3.318
1913,2.757,2.604,2.775,1.182,5.848,15.466,1.108,0.886,15.721,4.571,3.534,3.838
1914,0.268,2.195,1.298,5.127,17.334,0.245,0,1.544,5.571,14.97,15.334,2.885
1915,7.506,0,5.217,2.426,6.088,0.46,1.06,1.96,9.314,3.887,0,0.67
1916,2.158,0.279,0,0.751,0,1.077,16.879,9.117,4.696,5.855,2.596,0
1917,0.735,0.448,0.233,0.862,4.768,0.602,0.315,0,5.043,1.844,0,0
1918,0,1.213,1.594,2.018,5.027,3.944,4.212,3.999,3.236,4.009,3.636,6.715
1919,6.714,1.495,0.259,4.35,7.276,6.74,8.679,1.13,14.78,9.101,5.005,2.487
1920,1.661,1.135,1.273,0,11.214,5.516,0.497,2.751,1.955,3.519,2.172,0
1921,0.459,0.861,2.511,3.016,2.891,6.459,3.694,0.448,16.418,0.826,1.001,0
1922,2.192,1.005,3.932,1.015,7.055,9.562,1.518,1.16,19.72,3.848,9.458,0
1923,0,16.736,2.098,0.2,0,2.578,0.412,0.345,11.837,8.955,3.357,4.298
1924,4.362,1.229,0.022,0.059,8.29,8.27,2.305,0,9.417,1.223,0,5.544
1925,0.129,0,5.368,1.098,1.195,3.976,0,5.579,24.549,1.828,0.677,9.099
1926,4.607,0,4.148,2.95,4.708,6.099,5.703,3.707,4.167,7.022,2.926,4.615
1927,1.235,1.214,0,2.762,0.961,14.541,3.208,0.779,5.516,3.834,0.038,1.371
1928,2.715,4.638,0.196,2.263,11.972,2.924,0.833,1.181,10.973,0.525,2.739,3.075
1929,1.029,0.163,3.399,5.536,4.098,2.551,5.693,2.818,6.363,3.45,4.231,2.072
1930,0.47,3.042,2.755,6.072,8.737,12.045,1.797,0.381,4.375,13.97,9.678,0.503
1931,9.106,1.321,3.14,3.602,8.838,12.481,8.823,3.378,2.839,0.434,0.709,3.075
1932,4.907,1.571,3.082,2.838,6.889,3.353,2.383,5.354,19.755,1.983,0.509,1.517
1933,0.472,2.946,0.661,2.414,7.562,2.411,8.243,12.004,15.484,1.918,2.678,0.446
1934,9.826,0.679,1.313,4.567,2.815,0.496,11.728,0.719,9.306,2.206,0.893,3.778
1935,0.839,2.605,0.786,3.715,11.465,12.147,4.952,0.003,20.914,4.124,2.139,5.038
1936,0.487,1.101,1.057,6.284,8.301,2.916,10.182,4.653,11.941,1.422,0.629,2.924
1937,2.054,1.104,1.331,0.517,10.969,0.802,4.555,0.226,4.076,2.146,0.602,7.615
1938,3.006,1.608,3.409,1.243,2.682,4.64,1.073,7.11,6.152,0.308,0.538,2.049
1939,3.316,0.388,0.632,1.525,7.961,5.551,2.325,4.289,8.838,3.302,0.673,0.808
1940,0.478,0.993,7.534,0,3.895,9.457,5.133,2.76,2.482,4.506,1.013,7.097
1941,6.285,2.593,7.461,9.228,8.932,13.647,2.548,0.917,8.628,3.863,1.169,4.464
1942,1.581,1.638,0.152,0.471,3.577,8.7,3.676,1.829,8.693,5.085,0.198,0.403
1943,4.533,0.177,2.13,0.813,5.798,2.832,2.098,0,16.385,4.555,4.159,2.915
1944,1.441,0.477,4.981,0.091,7.743,5.665,3.002,14.24,8.932,0.559,2.122,1.725
1945,3.378,2.927,3.657,7.652,0.637,4.895,1.472,2.194,2.826,6.808,0,0.643
1946,4.36,0.525,0.193,4.036,9.595,6.541,0,2.378,9.593,5.01,0.835,0.245
1947,2.418,0.528,0,6.017,4.32,3.483,0.644,15.488,0.762,2.35,3.943,3.093
1948,0.698,8.458,4.427,1.529,7.174,4.636,0.22,3.683,20.223,8.373,0.539,0.048
1949,1.809,4.809,1.068,10.756,2.543,4.294,0.254,0.008,7.2,5.241,0,2.277
1950,0.361,1.032,2.266,2.69,6.578,5.088,0.438,0.01,4.098,0.984,0,0
1951,0.235,0.249,4.057,1.77,5.778,6.792,0.563,1.446,20.904,3.012,0.626,0.253
1952,0.193,0.73,0.594,0.737,3.531,7.744,4.522,0,4.27,0,3.071,0.901
1953,0.125,2.339,1.631,1.764,1.557,0.282,2.319,7.821,4.494,12.565,0.636,1.137
1954,0.501,0,0.724,10.907,4.556,10.565,0.553,2.915,7.027,11.919,3.007,0
1955,1.973,1.335,0.174,0.215,2.191,1.3,3.001,3.321,14.088,2.487,2.313,0.871
1956,0,0.816,0.265,3.103,6.574,2.751,0.326,0,2.283,5.624,0.537,1.293
1957,0.225,6.656,5.132,10.755,4.054,12.337,0,0.136,5.062,1.104,5.778,2
