years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1900,15,15.6,20.5,23.3,27.2,30.8,29.7,30.5,29.9,25.4,20.3,14.6
1901,16.7,16.4,22,24.2,27.5,30,31.1,30.8,27.8,25.5,20.5,15.7
1902,16,17,23.9,27.3,30.1,31.3,31.3,31.8,29.4,25.5,23.3,16.8
1903,14.9,16.3,18.5,23.7,26.3,28,30.1,29.2,27,23.1,19.2,14.4
1904,14.2,20.2,24.9,26.3,26.5,29.7,29.1,29.4,28.4,23.7,18.5,15.9
1905,15.1,12.3,21.9,25.3,29.2,28.7,30.6,32,29.6,24.4,21.6,12
1906,15.2,17.3,19,25.2,27.7,30.9,29.9,29.3,28.5,21.6,19.6,18.8
1907,19.9,18.7,25.6,24.4,25.6,30.4,30.5,30.8,29.1,25.6,17.2,16.1
1908,16.8,17.1,24,26.4,28.3,30.9,30.1,30.2,27.8,22.9,20,17.1
1909,18.2,18.5,22.7,24.7,27.8,30.7,31.5,30.8,27.4,24.5,23.6,13.6
1910,16.5,16.4,22.4,24.3,27.7,30.1,31.3,31.2,28.2,23,21,16.6
1911,18.8,20.1,22.1,25.2,26.3,30.3,30.1,31.2,29.8,24.1,17.5,14.8
1912,13.8,15.2,18.9,24.8,28.1,27.7,30.1,31.2,29.6,24.2,17.8,13.8
1913,14.2,15.5,19.5,23,26.1,27.6,29.5,30.1,26.8,23.2,21.6,15
1914,16.3,16.4,18.5,23.3,26.9,29.2,31.1,30.9,28.1,24,19.1,10.9
1915,13.3,17.3,15.6,22.7,27,30.4,30.7,30.7,29,23.7,20.4,17.5
1916,18.6,18.1,22.9,23.8,28.3,31.2,29.5,28.6,26.9,23.4,17.9,16.1
1917,15.9,18,21.1,24.1,26,29.5,30.1,31.1,27.6,22.9,19.7,15.4
1918,12.7,17.2,22.2,24.6,27,29.9,30.9,30.7,27,24.3,17.6,15.7
1919,12.6,15.5,20.2,23.5,26.3,28.1,28.7,30.2,27.4,26.1,19.7,14.2
1920,12.8,17.7,18.9,24.6,27.6,28.2,30.4,30.8,29.7,23.9,17.8,16.1
1921,17.4,16.9,24.1,24.1,26.2,29.3,30,30.3,29.2,24.4,21.9,18.8
1922,13.1,18.6,20.4,26.4,28.4,28.8,30.5,30.5,27.6,23,19,17.9
1923,18.7,16.3,19,25.1,28.6,30,30.7,30.7,28.5,22.5,17.2,15.6
1924,11.9,15.9,19,24.5,26.1,29.3,29.7,31.2,27.7,23.7,22,13.9
1925,13.9,19.3,22.3,25.7,27.3,29.8,31.3,30.4,27.8,23.7,18.8,11.2
1926,12.4,18.9,19.4,22.9,26.4,29.3,29.2,30.4,29.3,26.5,17.8,15.8
1927,17,19.9,21.4,26.8,30,29.3,29.9,30.9,29.2,24.9,23.1,13.1
1928,14.8,17.6,23.1,23.2,26.5,31,31.5,31.5,27.1,26,18.8,15
1929,17.1,15.9,23.2,27.6,28.2,29.6,29.9,30.5,28.8,24.5,16.7,15.6
