Year,Area (m2)
1900,686500000
1901,686500000
1902,686500000
1903,686500000
1904,686500000
1905,686500000
1906,686500000
1907,686500000
1908,686500000
1909,686500000
1910,686500000
1911,686500000
1912,686500000
1913,686500000
1914,686500000
1915,686500000
1916,686500000
1917,686500000
1918,686500000
1919,686500000
1920,686500000
1921,686500000
1922,686500000
1923,686500000
1924,686500000
1925,686500000
1926,686500000
1927,686500000
1928,686500000
1929,686500000
1930,686500000
1931,686500000
1932,686500000
1933,686500000
1934,686500000
1935,686500000
1936,686500000
1937,686500000
1938,686500000
1939,686500000
1940,686500000
1941,686500000
1942,686500000
1943,686500000
1944,686500000
1945,686500000
1946,686500000
1947,686500000
1948,686500000
1949,686500000
1950,686500000
1951,686500000
1952,686500000
1953,686500000
1954,686500000
1955,686500000
1956,686500000
1957,686500000
1958,686500000
1959,686500000
1960,686500000
1961,686500000
1962,686500000
1963,686500000
1964,686500000
1965,686500000
1966,686500000
1967,686500000
1968,686500000
1969,686500000
1970,686500000
1971,686500000
1972,686500000
1973,686500000
1974,686500000
1975,686500000
1976,686500000
1977,686500000
1978,686500000
1979,686500000
1980,686500000
1981,686500000
1982,686500000
1983,686500000
1984,686500000
1985,686500000
1986,686500000
1987,686500000
1988,686500000
1989,686500000
1990,686500000
1991,686500000
1992,686500000
1993,686500000
1994,686500000
1995,686500000
1996,686500000
1997,686500000
1998,686500000
1999,686500000
2000,686500000
2001,686500000
2002,686500000
2003,686500000
2004,686500000
2005,686500000
2006,686500000
2007,686500000
2008,686500000
2009,686500000
2010,686500000
