Year,Area (m2)
1900,80200000
1901,80200000
1902,80200000
1903,80200000
1904,80200000
1905,80200000
1906,80200000
1907,80200000
1908,80200000
1909,80200000
1910,80200000
1911,80200000
1912,80200000
1913,80200000
1914,80200000
1915,80200000
1916,91200000
1917,101600000
1918,112000000
1919,122400000
1920,132800000
1921,143200000
1922,153600000
1923,164000000
1924,164000000
1925,164000000
1926,164000000
1927,164000000
1928,164000000
1929,164000000
1930,164000000
1931,164000000
1932,164000000
1933,164000000
1934,164000000
1935,164000000
1936,164000000
1937,164000000
1938,172390000
1939,172390000
1940,172390000
1941,172390000
1942,172390000
1943,172390000
