,Jan,Fed,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,1.25,1.24,4.24,7.3,12.45,16.38,15.47,14.45,10.9,6.81,2.9,1.1
1901,1.38,1.24,3.92,7.68,13.1,16.67,16.16,14.64,10.82,6.81,3.0,1.1
1902,0.96,1.62,3.61,8.3,13.19,16.97,14.98,14.26,10.5,6.61,2.9,1.1
1903,1.0,0.46,3.31,7.83,11.73,13.25,15.67,14.08,10.66,6.4,2.85,1.02
1904,0.84,2.72,5.09,7.91,12.45,14.75,14.98,13.8,10.34,6.47,2.54,1.02
1905,0.92,0.39,4.17,7.3,12.55,15.22,14.69,14.17,10.82,6.47,2.79,0.53
1906,0.84,1.28,3.61,7.68,12.36,15.51,14.31,13.07,10.58,6.26,2.44,1.61
1907,1.89,2.62,5.15,7.76,11.19,14.84,15.18,14.36,10.82,6.61,2.34,1.31
1908,1.04,1.58,4.95,7.76,12.18,15.51,14.5,13.53,10.42,6.47,2.69,1.35
1909,1.89,1.99,3.8,7.83,12.18,15.89,15.86,13.99,10.5,6.68,3.22,0.6
1910,1.21,1.2,5.22,7.83,12.64,15.99,16.35,14.73,11.15,6.61,3.0,1.26
1911,2.03,1.71,4.75,7.76,12.55,15.51,15.08,14.36,11.31,6.61,2.39,0.67
1912,0.96,0.92,3.43,7.45,12.64,14.65,15.57,14.08,10.34,6.47,2.59,0.71
1913,0.69,1.0,3.13,7.53,12.82,13.81,15.18,13.9,10.03,6.4,3.0,0.78
1914,1.79,1.36,3.31,7.83,12.55,14.65,15.28,13.71,10.58,6.54,2.9,0.71
1915,0.65,1.62,2.45,7.6,12.09,15.8,15.57,13.44,10.66,6.61,2.9,1.26
1916,1.89,2.62,5.09,7.68,12.91,17.16,15.28,13.44,10.42,6.61,2.49,0.98
1917,1.17,2.13,3.55,7.68,11.46,15.51,16.06,14.36,10.58,6.54,2.9,1.22
1918,0.35,2.47,4.49,7.53,12.45,15.41,15.76,13.8,10.26,6.61,2.49,0.75
1919,0.45,1.2,3.43,7.83,12.0,13.81,14.69,14.08,10.5,6.81,2.79,1.1
1920,0.84,2.37,3.37,7.3,12.64,14.09,15.37,13.07,10.74,6.47,2.54,0.94
1921,1.34,1.71,4.62,7.38,12.45,14.18,14.89,14.08,11.15,6.74,2.9,1.61
1922,0.69,1.99,3.37,7.68,12.55,14.09,15.28,14.36,10.74,6.47,2.49,1.31
1923,1.89,1.2,2.9,7.53,12.55,15.51,14.89,13.71,10.66,6.68,2.54,0.9
1924,0.55,1.36,2.5,7.45,10.75,16.48,15.57,14.73,10.5,6.47,2.74,0.75
1925,0.58,2.47,4.11,8.06,12.73,15.51,14.98,13.53,10.26,6.68,2.54,0.64
1926,0.65,2.27,2.5,7.45,11.82,15.51,15.57,13.8,10.98,6.81,2.79,1.14
1927,1.3,2.67,3.8,7.91,13.85,15.51,15.28,14.17,10.66,6.47,3.16,0.47
1928,0.88,1.45,4.43,7.23,12.0,16.57,15.76,13.26,9.87,6.81,2.34,1.1
1929,0.88,1.24,3.37,7.83,11.73,15.8,15.37,13.8,10.9,6.68,2.09,1.39
1930,0.41,2.27,3.13,8.22,11.91,14.94,15.28,13.8,11.06,6.68,2.34,0.71
1931,0.41,1.12,2.67,6.93,11.28,14.37,14.89,13.53,11.15,6.88,2.74,0.94
1932,0.38,1.8,2.34,7.45,12.0,15.6,14.98,13.53,9.56,6.13,2.19,0.64
1933,0.73,0.88,3.55,7.08,11.73,14.46,14.98,13.8,10.98,6.74,2.69,1.57
1934,0.58,1.8,3.31,7.76,12.45,15.89,14.98,14.08,10.66,6.81,2.95,1.22
1935,1.04,0.77,4.05,7.6,11.37,14.56,14.98,13.8,9.95,6.61,2.69,0.9
1936,0.41,1.12,3.61,7.68,11.55,15.03,14.5,13.26,10.1,6.4,2.19,0.82
1937,0.58,1.0,2.67,7.83,12.09,14.84,14.98,13.99,10.42,6.74,2.34,0.82
1938,0.77,2.08,3.67,7.53,11.64,14.09,13.83,13.26,10.26,6.81,2.24,1.14
1939,0.65,0.43,3.67,7.83,11.73,15.22,14.79,12.8,10.82,6.4,2.14,1.02
1940,0.41,1.16,3.74,7.45,11.91,13.81,15.28,13.16,10.5,6.61,2.54,1.43
1941,0.92,1.8,3.02,7.53,12.0,13.99,14.5,13.44,10.58,6.68,2.49,0.98
1942,0.84,1.24,2.84,7.6,12.45,15.7,15.47,13.53,10.1,6.54,2.95,1.26
1943,0.84,2.03,3.8,8.22,12.64,15.22,14.69,14.73,10.26,6.54,2.59,0.86
