,Jan,Fed,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,24862000.0,24060000.0,264660000.0,510072000.0,923102000.0,1238288000.0,1165306000.0,1083502000.0,798792000.0,470774000.0,157192000.0,12832000.0
1901,34486000.0,23258000.0,238194000.0,539746000.0,974430000.0,1260744000.0,1219842000.0,1097938000.0,791574000.0,469972000.0,164410000.0,12030000.0
1902,802000.0,53734000.0,213332000.0,589470000.0,981648000.0,1284804000.0,1125206000.0,1067462000.0,765910000.0,453932000.0,156390000.0,12030000.0
1903,9624000.0,-33684000.0,194886000.0,557390000.0,870170000.0,992074000.0,1186158000.0,1058640000.0,784356000.0,442704000.0,157994000.0,11228000.0
1904,-7218000.0,143558000.0,333632000.0,559796000.0,923904000.0,1108364000.0,1126810000.0,1032174000.0,754682000.0,444308000.0,129122000.0,7218000.0
1905,1604000.0,-40902000.0,262254000.0,513280000.0,934330000.0,1148464000.0,1105958000.0,1064254000.0,795584000.0,446714000.0,151578000.0,-29674000.0
1906,-4010000.0,31278000.0,218144000.0,544558000.0,919894000.0,1172524000.0,1076284000.0,976836000.0,777138000.0,430674000.0,124310000.0,57744000.0
1907,76190000.0,134736000.0,337642000.0,546964000.0,822050000.0,1114780000.0,1142048000.0,1076284000.0,792376000.0,454734000.0,112280000.0,29674000.0
1908,9624000.0,52932000.0,323206000.0,548568000.0,903052000.0,1170118000.0,1089116000.0,1011322000.0,761900000.0,445110000.0,141954000.0,34486000.0
1909,76190000.0,84210000.0,229372000.0,552578000.0,901448000.0,1198990000.0,1196584000.0,1046610000.0,766712000.0,460348000.0,182856000.0,-27268000.0
1910,19248000.0,18446000.0,340850000.0,550172000.0,935934000.0,1204604000.0,1233476000.0,1103552000.0,816436000.0,452328000.0,162806000.0,23258000.0
1911,86616000.0,60952000.0,304760000.0,546162000.0,930320000.0,1167712000.0,1133226000.0,1075482000.0,830872000.0,453932000.0,115488000.0,-22456000.0
1912,4812000.0,1604000.0,202906000.0,525310000.0,941548000.0,1102750000.0,1176534000.0,1057036000.0,757088000.0,446714000.0,135538000.0,-15238000.0
1913,-15238000.0,9624000.0,180450000.0,533330000.0,957588000.0,1036986000.0,1146860000.0,1044204000.0,733830000.0,442704000.0,170024000.0,-8020000.0
1914,71378000.0,36892000.0,193282000.0,555786000.0,934330000.0,1102750000.0,1153276000.0,1027362000.0,776336000.0,452328000.0,160400000.0,-15238000.0
1915,-20050000.0,57744000.0,124310000.0,537340000.0,897438000.0,1194980000.0,1176534000.0,1005708000.0,782752000.0,457942000.0,160400000.0,28872000.0
1916,85728000.0,152304000.0,377568000.0,613776000.0,1090752000.0,1478352000.0,1306896000.0,1139088000.0,863664000.0,516192000.0,140448000.0,2736000.0
1917,24384000.0,121920000.0,266192000.0,685800000.0,1069848000.0,1481328000.0,1537208000.0,1364488000.0,980440000.0,569976000.0,200152000.0,29464000.0
1918,-63840000.0,173600000.0,399840000.0,740320000.0,1291360000.0,1622880000.0,1662080000.0,1442560000.0,1046080000.0,637280000.0,175840000.0,-19040000.0
1919,-52632000.0,39168000.0,312120000.0,850680000.0,1361088000.0,1582632000.0,1690344000.0,1615680000.0,1177488000.0,725832000.0,233784000.0,26928000.0
1920,-6640000.0,196544000.0,329344000.0,851248000.0,1560400000.0,1752960000.0,1922944000.0,1617504000.0,1308080000.0,741024000.0,219120000.0,6640000.0
1921,58712000.0,111696000.0,528408000.0,923640000.0,1649664000.0,1897400000.0,1999072000.0,1883080000.0,1463504000.0,831992000.0,282104000.0,97376000.0
1922,-32256000.0,167424000.0,379392000.0,1041408000.0,1789440000.0,2025984000.0,2208768000.0,2067456000.0,1511424000.0,855552000.0,244224000.0,62976000.0
1923,162360000.0,49200000.0,328000000.0,1087320000.0,1910600000.0,2396040000.0,2294360000.0,2100840000.0,1600640000.0,947920000.0,268960000.0,-0.0
1924,-55760000.0,77080000.0,264040000.0,1075840000.0,1617040000.0,2556760000.0,2407520000.0,2269760000.0,1576040000.0,915120000.0,303400000.0,-22960000.0
1925,-55760000.0,254200000.0,523160000.0,1170960000.0,1936840000.0,2392760000.0,2305840000.0,2068040000.0,1531760000.0,944640000.0,265680000.0,-45920000.0
1926,-41000000.0,224680000.0,262400000.0,1074200000.0,1790880000.0,2396040000.0,2405880000.0,2115600000.0,1653120000.0,969240000.0,309960000.0,39360000.0
1927,57400000.0,282080000.0,467400000.0,1141440000.0,2115600000.0,2387840000.0,2350120000.0,2168080000.0,1592440000.0,905280000.0,362440000.0,-78720000.0
1928,-3280000.0,90200000.0,578920000.0,1038120000.0,1820400000.0,2569880000.0,2437040000.0,2027040000.0,1471080000.0,969240000.0,236160000.0,32800000.0
1929,-3280000.0,55760000.0,405080000.0,1136520000.0,1776120000.0,2443600000.0,2373080000.0,2115600000.0,1640000000.0,947920000.0,195160000.0,80360000.0
1930,-80360000.0,224680000.0,365720000.0,1200480000.0,1805640000.0,2302560000.0,2358320000.0,2115600000.0,1666240000.0,947920000.0,236160000.0,-31160000.0
1931,-72160000.0,44280000.0,298480000.0,997120000.0,1710520000.0,2217280000.0,2302560000.0,2079520000.0,1689200000.0,988920000.0,309960000.0,14760000.0
1932,-77080000.0,155800000.0,244360000.0,1082400000.0,1828600000.0,2419000000.0,2317320000.0,2079520000.0,1428440000.0,865920000.0,219760000.0,-34440000.0
1933,-24600000.0,-0.0,437880000.0,1016800000.0,1779400000.0,2227120000.0,2312400000.0,2118880000.0,1656400000.0,961040000.0,296840000.0,113160000.0
1934,-55760000.0,144320000.0,391960000.0,1121760000.0,1890920000.0,2455080000.0,2305840000.0,2158240000.0,1597360000.0,965960000.0,332920000.0,49200000.0
1935,26240000.0,-18040000.0,519880000.0,1102080000.0,1720360000.0,2243520000.0,2312400000.0,2118880000.0,1487480000.0,939720000.0,296840000.0,3280000.0
1936,-72160000.0,44280000.0,452640000.0,1120120000.0,1754800000.0,2325520000.0,2238600000.0,2035240000.0,1517000000.0,910200000.0,219760000.0,-4920000.0
1937,-49200000.0,19680000.0,293560000.0,1139800000.0,1838440000.0,2289440000.0,2312400000.0,2150040000.0,1564560000.0,961040000.0,239440000.0,-9840000.0
1938,-13791200.0,212039700.0,486139800.0,1151565200.0,1860088100.0,2282443600.0,2237622200.0,2139359900.0,1622189900.0,1027444400.0,239622100.0,49993100.0
